CID,Drug_Name,label
CID100003848,phenyllactate,1
CID100003869,labetalol,1
CID100003872,lactulose,1
CID100003877,lamivudine,1
CID100003878,lamotrigine,1
CID100003883,lansoprazole,0
CID100003890,latanoprost,1
CID100003899,leflunomide,1
CID100003902,letrozole,1
CID100003911,Leuprorelin,1
CID100003914,levobunolol,1
CID100003915,levocabastine,1
CID100003916,levomepromazine,1
CID100003918,dextrorphan,1
CID100003928,lincomycin,1
CID100003929,linezolid,1
CID100003937,Lisinopril,1
CID100003938,lisuride,1
CID100003939,LiOH,1
CID100003948,lomefloxacin,1
CID100003950,lomustine,1
CID100003954,loperamide,1
CID100003957,loratadine,1
CID100003958,lorazepam,1
CID100003961,losartan,1
CID100003962,lovastatin,1
CID100003964,loxapine,1
CID100003998,mafenide,1
CID100004004,malathion,1
CID100004011,maprotiline,1
CID100004030,mebendazole,1
CID100004031,mebeverine,1
CID100004032,mecamylamine,0
CID100004033,nitrogen,1
CID100004034,monamine,1
CID100004036,meclofenamate,1
CID100004042,medroxyprogesterone,1
CID100004043,medrysone,1
CID100004044,mefenamic,1
CID100004046,mefloquine,1
CID100004048,megestrol,1
CID100004051,meloxicam,1
CID100004053,melphalan,1
CID100004054,memantine,1
CID100004057,Cantril,1
CID100004058,meperidine,1
CID100004060,mephenytoin,1
CID100004062,mepivacaine,1
CID100004064,meprobamate,1
CID100004075,5-ASA,1
CID100004086,metaproterenol,1
CID100004091,metformin,1
CID100004095,methadone,1
CID100004101,methenamine,1
CID100004107,methocarbamol,1
CID100004112,methotrexate,1
CID100004114,8-MOP,1
CID100004120,N-methylscopolamine,1
CID100004121,methyclothiazide,0
CID100004138,methyldopa,1
CID100004139,methylene,1
CID100004140,methylergometrine,1
CID100004158,methylphenidate,1
CID100004159,methylprednisolone,1
CID100004160,methyltestosterone,1
CID100004163,methysergide,1
CID100004168,metoclopramide,1
CID100004170,metolazone,1
CID100004171,metoprolol,1
CID100004173,metronidazole,1
CID100004174,metyrapone,1
CID100004178,mexiletine,1
CID100004184,mianserin,1
CID100004189,miconazole,1
CID100004192,midazolam,1
CID100004195,midodrine,1
CID100004196,mifepristone,1
CID100004197,milrinone,1
CID100004201,minoxidil,1
CID100004205,mirtazapine,1
CID100004211,mitotane,1
CID100004212,mitoxantrone,1
CID100004235,moclobemide,1
CID100004236,modafinil,1
CID100004240,mometasone,1
CID100004248,montelukast,1
CID100004253,morphine,0
CID100004259,moxifloxacin,1
CID100004264,mupirocin,1
CID100004271,mycophenolate,1
CID100004272,mycophenolic,1
CID100004274,tetrofosmin,1
CID100004409,nabumetone,1
CID100004411,nadolol,1
CID100004419,nalbuphine,1
CID100004421,nalidixic,1
CID100004422,nalmefene,1
CID100004425,naloxone,1
CID100004428,naltrexone,1
CID100004432,nandrolone,1
CID100004436,naphazoline,1
CID100004440,naratriptan,1
CID100004443,nateglinide,1
CID100004449,nefazodone,1
CID100004450,nefopam,1
CID100004451,nelfinavir,1
CID100004454,neomycin,1
CID100004456,neostigmine,1
CID100004463,nevirapine,1
CID100004473,nicardipine,1
CID100004485,nifedipine,1
CID100004493,nilutamide,0
CID100004497,nimodipine,1
CID100004499,nisoldipine,1
CID100004506,nitrazepam,1
CID100004509,nitrofurantoin,1
CID100004510,nitroglycerin,1
CID100004513,nizatidine,1
CID100004536,norethisterone,1
CID100004539,norfloxacin,1
CID100004542,levonorgestrel,1
CID100004543,nortriptyline,1
CID100004547,repaglinide,1
CID100004568,nystatin,1
CID100004583,ofloxacin,1
CID100004585,olanzapine,1
CID100004594,omeprazole,1
CID100004595,ondansetron,1
CID100004599,orlistat,1
CID100004601,orphenadrine,1
CID100004603,oseltamivir,1
CID100004607,oxacillin,1
CID100004609,oxaliplatin,1
CID100004614,oxaprozin,1
CID100004616,oxazepam,0
CID100004623,oxiconazole,1
CID100004631,oxprenolol,1
CID100004634,oxybutynin,1
CID100004635,oxycodone,1
CID100004638,oxymetholone,1
CID100004639,oxymorphone,1
CID100004649,APAs,1
CID100004666,paclitaxel,1
CID100004673,pamidronate,1
CID100004675,pancuronium,1
CID100004678,dexpanthenol,1
CID100004679,pantoprazole,1
CID100004680,papaverine,1
CID100004689,paromomycin,1
CID100004691,paroxetine,1
CID100004695,isosulfan,1
CID100004724,penbutolol,1
CID100004725,penciclovir,1
CID100004727,D-penicillamine,0
CID100004730,penicillin,1
CID100004735,pentamidine,1
CID100004736,pentazocine,0
CID100004737,pentobarbital,1
CID100004739,pentostatin,0
CID100004740,pentoxifylline,0
CID100004745,pergolide,1
CID100004746,perhexiline,1
CID100004747,propericiazine,0
CID100004748,perphenazine,0
CID100004756,phenylazo,0
CID100004763,phenobarbital,0
CID100004768,phenoxybenzamine,1
CID100004771,phentermine,1
CID100004775,4-PBA,0
CID100004782,phenylephrine,1
CID100004786,phenylpropanolamine,0
CID100004810,moxonidine,0
CID100004811,physostigmine,1
CID100004812,vitamin,0
CID100004819,pilocarpine,0
CID100004828,pindolol,0
CID100004829,pioglitazone,0
CID100004834,piperacillin,0
CID100004845,pirbuterol,1
CID100004865,podophyllotoxin,1
CID100004868,polymyxin,1
CID100004870,polythiazide,1
CID100004885,pramipexole,0
CID100004889,pravastatin,0
CID100004891,praziquantel,0
CID100004893,prazosin,0
CID100004894,prednisolone,1
CID100004895,prednisolone,0
CID100004896,prednisolone,0
CID100004900,prednisone,0
CID100004906,prilocaine,0
CID100004908,primaquine,0
CID100004909,primidone,1
CID100004911,probenecid,1
CID100004913,procainamide,1
CID100004914,procaine,1
CID100004915,procarbazine,1
CID100004917,prochlorperazine,1
CID100004920,progesterone,1
CID100004923,proguanil,1
CID100004927,promethazine,1
CID100004932,propafenone,1
CID100004934,propantheline,1
CID100004935,proparacaine,1
CID100004943,propofol,1
CID100004946,propranolol,1
CID100004976,protriptyline,1
CID100004989,pyrantel,1
CID100004991,pyridostigmine,1
CID100004992,mepyramine,1
CID100004993,pyrimethamine,1
CID100004999,quazepam,1
CID100005002,quetiapine,1
CID100005005,quinapril,1
CID100005029,rabeprazole,1
CID100005032,ephedrine,1
CID100005035,raloxifene,1
CID100005038,ramipril,1
CID100005039,ranitidine,1
CID100005040,rapamycin,1
CID100005051,rescinnamine,1
CID100005052,reserpine,1
CID100005064,ribavirin,1
CID100005070,riluzole,1
CID100005071,rimantadine,0
CID100005073,risperidone,1
CID100005076,ritonavir,1
CID100005077,rivastigmine,1
CID100005078,rizatriptan,1
CID100005090,rofecoxib,1
CID100005095,ropinirole,1
CID100005106,roxithromycin,1
CID100005152,salmeterol,0
CID100005155,stavudine,1
CID100005161,salsalate,1
CID100005184,scopolamine,1
CID100005193,secobarbital,1
CID100005195,deprenyl,1
CID100005203,sertraline,1
CID100005206,sevoflurane,1
CID100005210,sibutramine,1
CID100005212,sildenafil,1
CID100005214,silver,1
CID100005215,sulfadiazine,1
CID100005238,sodium,1
CID100005245,risedronate,1
CID100005248,sodium,1
CID100005253,sotalol,1
CID100005257,sparfloxacin,1
CID100005267,spironolactone,1
CID100005291,imatinib,1
CID100005297,streptomycin,1
CID100005300,streptozotocin,1
CID100005311,vorinostat,1
CID100005314,succinylcholine,1
CID100005318,sulconazole,1
CID100005320,sulfacetamide,0
CID100005329,sulfamethoxazole,0
CID100005333,sulfonamide,1
CID100005352,sulindac,1
CID100005358,sumatriptan,1
CID100005359,suprofen,1
CID100005372,tacrolimus,1
CID100005376,tamoxifen,1
CID100005379,gatifloxacin,1
CID100005381,tazarotene,1
CID100005391,temazepam,1
CID100005394,temozolomide,1
CID100005396,teniposide,1
CID100005401,terazosin,1
CID100005402,terbinafine,1
CID100005403,terbutaline,1
CID100005404,terconazole,1
CID100005407,testolactone,1
CID100005408,testosterone,1
CID100005409,testosterone,1
CID100005410,testosterone,1
CID100005411,tetracaine,1
CID100005419,tetrahydrozoline,1
CID100005426,thalidomide,1
CID100005430,thiabendazole,1
CID100005452,thioridazine,1
CID100005453,thiotepa,1
CID100005454,thiothixene,1
CID100005466,tiagabine,1
CID100005468,tiaprofenic,1
CID100005470,tibolone,0
CID100005472,ticlopidine,1
CID100005478,timolol,0
CID100005479,tinidazole,0
CID100005483,tiopronin,1
CID100005486,tirofiban,1
CID100005487,tizanidine,1
CID100005496,tobramycin,1
CID100005503,tolazamide,1
CID100005505,tolbutamide,1
CID100005508,tolmetin,1
CID100005512,tolterodine,1
CID100005514,topiramate,1
CID100005515,topotecan,1
CID100005516,toremifene,1
CID100005523,tramadol,1
CID100005524,tramazoline,1
CID100005525,trandolapril,1
CID100005526,tranexamic,1
CID100005530,tranylcypromine,1
CID100005533,trazodone,1
CID100005538,retinoic,1
CID100005544,triamcinolone,1
CID100005546,triamterene,1
CID100005556,triazolam,0
CID100005564,triclosan,0
CID100005565,trien,1
CID100005566,trifluoperazine,0
CID100005572,trihexyphenidyl,0
CID100005576,trimethadione,1
CID100005577,trimethobenzamide,1
CID100005578,trimethoprim,1
CID100005582,trimetrexate,1
CID100005584,trimipramine,1
CID100005591,troglitazone,1
CID100005593,tropicamide,1
CID100005595,tropisetron,1
CID100005596,trospium,1
CID100005625,delavirdine,1
CID100005636,unoprostone,1
CID100005645,UDCA,1
CID100005647,VACV,1
CID100005650,valsartan,1
CID100005651,Vancocine,1
CID100005656,venlafaxine,1
CID100005665,vigabatrin,1
CID100005672,vinorelbine,1
CID100005717,zafirlukast,1
CID100005718,zalcitabine,1
CID100005719,zaleplon,1
CID100005721,zanamivir,1
CID100005726,zidovudine,0
CID100005727,ZnCl2,1
CID100005731,zolmitriptan,0
CID100005732,zolpidem,0
CID100005734,zonisamide,0
CID100005735,zopiclone,1
CID100005746,mitomycin,0
CID100005771,oxytocin,0
CID100005775,phentolamine,0
CID100005877,demethyl,1
CID100005878,oxandrolone,1
CID100005939,biguanide,1
CID100005978,vincristine,1
CID100006018,tetrabenazine,1
CID100006049,EDTA,1
CID100006058,cysteamine,1
CID100006116,calcium,1
CID100006238,17-hydroxyprogesterone,1
CID100006256,trifluorothymidine,1
CID100006432,Optison,0
CID100006436,triamcinolone,0
CID100006451,bromcresol,1
CID100006468,phencyclidine,1
CID100006476,methsuximide,0
CID100006503,tris,0
CID100006726,cyclizine,0
CID100007012,phenylbutyric,1
CID100007029,diethylpropion,1
CID100007187,benzoyl,0
CID100007638,monobenzone,0
CID100007699,benzonatate,1
CID100008197,tetraen,1
CID100008230,argenine,1
CID100008612,chloroprocaine,1
CID100008982,nafcillin,1
CID100009034,methohexital,1
CID100009354,dimercaptosuccinic,1
CID100009433,aminophylline,1
CID100009904,nandrolone,1
CID100010100,propoxyphene,1
CID100010340,sodium,1
CID100010413,hydroxybutyrate,1
CID100010547,echothiophate,1
CID100010631,medroxyprogesterone,1
CID100010660,dimenhydrinate,1
CID100011125,lithium,1
CID100011973,Brolene,1
CID100012453,zuclopenthixol,1
CID100012460,phendimetrazine,1
CID100012536,desonide,1
CID100012555,benzydamine,1
CID100012559,erythromycin,1
CID100012597,isomannide,1
CID100012620,Tadenan,0
CID100013314,lormetazepam,0
CID100013342,vinblastine,0
CID100014789,ferumoxytol,0
CID100014888,arsenic,0
CID100014917,fluoride,0
CID100015232,benzathine,0
CID100015459,metaxalone,1
CID100016124,methylene,1
CID100016230,amiloride,1
CID100016362,pimozide,1
CID100016533,betamethasone,1
CID100016850,fluorescein,1
CID100016886,5-aza-2'-deoxycytidine,1
CID100017358,SonoVue,1
CID100018140,estramustine,1
CID100019090,megestrol,1
CID100020585,choline,1
CID100020969,clocortolone,1
CID100021800,betamethasone,1
CID100021945,methenamine,1
CID100022258,hydrocodone,1
CID100022318,gold,1
CID100022502,procaine,1
CID100023703,ogen,1
CID100023897,molindone,1
CID100023925,Fe(III,1
CID100023926,lanthanum,1
CID100023951,samarium,1
CID100023954,silver,1
CID100023957,technetium-99m,0
CID100023976,chromium,1
CID100023978,copper,1
CID100023982,gadolinium,1
CID100023993,yttrium,1
CID100023994,zinc,1
CID100024087,selenium,1
CID100024414,barium,1
CID100024424,zinc,1
CID100024450,potassium,1
CID100024642,TlCl,1
CID100024706,Triphasil,1
CID100024748,glucose,1
CID100024841,iodide,1
CID100025419,clodronate,1
CID100025959,Prussian,1
CID100027304,HMDP,1
CID100027400,pizotifen,1
CID100027661,isosorbide-5-mononitrate,1
CID100027991,desmopressin,1
CID100027993,conjugated,1
CID100028332,propoxyphene,1
CID100028486,lithium,1
CID100029089,chlorhexidine,1
CID100030623,dexrazoxane,1
CID100031072,carbimazole,1
CID100031264,paraldehyde,1
CID100031378,fludrocortisone,0
CID100031477,metipranolol,0
CID100032169,articaine,1
CID100032281,Protirelin,0
CID100032603,clindamycin,0
CID100032797,clobetasol,1
CID100032800,Asp-Tyr(SO3H)-Met-Gly-Trp-Met-Asp-Phe-NH2,0
CID100034312,oxcarbazepine,1
CID100036339,etomidate,1
CID100036523,gonadorelin,1
CID100036811,dobutamine,1
CID100037392,halofantrine,1
CID100037720,pentosan,1
CID100038904,carboplatin,1
CID100039042,bezafibrate,1
CID100039507,rimexolone,1
CID100039524,stiripentol,1
CID100039764,vecuronium,1
CID100039860,nabilone,1
CID100040159,permethrin,1
CID100040632,pirfenidone,1
CID100040703,pinaverium,1
CID100040973,desogestrel,1
CID100040976,Implanon,1
CID100041317,acitretin,1
CID100041684,nitazoxanide,1
CID100041693,sufentanil,1
CID100041744,valrubicin,1
CID100041774,acarbose,1
CID100041781,torasemide,1
CID100042113,desflurane,1
CID100042395,Westcort,1
CID100042615,Supremon,1
CID100042955,misoprostol,1
CID100044563,lodoxamide,1
CID100044564,lodoxamide,1
CID100045469,sodium,1
CID100047319,atracurium,1
CID100047320,cisatracurium,1
CID100047419,cefuroxime,1
CID100047471,butoconazole,1
CID100047528,nicorandil,1
CID100047640,naftifine,1
CID100047725,Goserelin,1
CID100050294,nedocromil,1
CID100050614,cefotetan,1
CID100051263,alfentanil,0
CID100051577,miglitol,0
CID100051634,miglustat,0
CID100052421,prednicarbate,1
CID100054158,mebrofenin,1
CID100054313,iloprost,1
CID100054331,fosfomycin,1
CID100054373,Octreotide,1
CID100054454,simvastatin,1
CID100054547,cefpodoxime,1
CID100054688,clarithromycin,1
CID100054786,treprostinil,1
CID100054808,loteprednol,1
CID100054840,atomoxetine,1
CID100054949,NSC,1
CID100055331,moexiprilat,1
CID100055466,Gd-DTPA,1
CID100055480,milnacipran,1
CID100056338,fosphenytoin,0
CID100056959,ranolazine,1
CID100057166,Photofrin,1
CID100057469,imiquimod,1
CID100057537,rotigotine,1
CID100057697,pemirolast,1
CID100059708,levetiracetam,1
CID100059768,esmolol,1
CID100060146,tamsulosin,1
CID100060164,adapalene,1
CID100060172,adefovir,1
CID100060183,perindopril,1
CID100060184,perindopril,1
CID100060198,exemestane,1
CID100060490,zileuton,1
CID100060496,amlodipine,1
CID100060612,dexmedetomidine,1
CID100060613,cidofovir,1
CID100060668,etoposide,1
CID100060695,rocuronium,1
CID100060706,meropenem,1
CID100060714,gadoteridol,1
CID100060726,bromfenac,1
CID100060751,mTHPC,1
CID100060752,ibutilide,1
CID100060754,gadodiamide,1
CID100060787,saquinavir,1
CID100060795,aripiprazole,0
CID100060814,remifentanil,1
CID100060830,tiotropium,1
CID100060834,duloxetine,1
CID100060843,pemetrexed,1
CID100060852,ibandronate,1
CID100060853,ziprasidone,1
CID100060860,metaiodobenzylguanidine,1
CID100060864,olopatadine,1
CID100060867,levosimendan,1
CID100060871,adefovir,1
