Drugs ,Cell line,TCGA classification,Tissue,Tissue sub-type,IC50,AUC,Smiles
,EC-GI-10,ESCA,aero_digestive_tract,oesophagus,0.001472,0.663315,
,OCI-LY7,DLBC,blood,B_cell_lymphoma,0.001492,0.687131,
,OCI-M1,LAML,blood,acute_myeloid_leukaemia,0.001494,0.683424,
Camptothecin,CAL-39,CESC,urogenital_system,cervix,0.001531,0.66591,CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O
,CML-T1,LCML,blood,chronic_myeloid_leukaemia,0.002791,0.482402,
,NCI-H1876,SCLC,lung,lung_small_cell_carcinoma,0.002982,0.492378,
,MC-IXC,NB,nervous_system,neuroblastoma,0.003526,0.514682,
,DOHH-2,DLBC,blood,B_cell_lymphoma,0.003601,0.518781,
,OCI-LY-19,DLBC,blood,B_cell_lymphoma,0.003678,0.520989,
,JVM-3,CLL,blood,lymphoid_neoplasm_other,0.003852,0.526142,
,NCI-H209,SCLC,lung,lung_small_cell_carcinoma,0.004418,0.544531,
,SUP-M2,UNCLASSIFIED,blood,anaplastic_large_cell_lymphoma,0.004574,0.553155,
,MOLT-16,ALL,blood,lymphoblastic_T_cell_leukaemia,0.004719,0.557673,
,A3-KAW,DLBC,blood,B_cell_lymphoma,0.004947,0.563173,
,IM-9,MM,blood,myeloma,0.004979,0.563406,
,DEL,UNCLASSIFIED,blood,lymphoid_neoplasm_other,0.005113,0.567728,
,SR,UNCLASSIFIED,blood,lymphoid_neoplasm_other,0.005179,0.569871,
,MHH-NB-11,NB,nervous_system,neuroblastoma,0.005191,0.566969,
,SK-CO-1,COREAD,digestive_system,large_intestine,0.00534,0.565065,
,KARPAS-231,UNCLASSIFIED,blood,B_cell_leukemia,0.005492,0.577004,
,RPMI-8402,ALL,blood,lymphoblastic_T_cell_leukaemia,0.005663,0.58086,
,SU-DHL-16,DLBC,blood,B_cell_lymphoma,0.005771,0.586217,
,EW-22,UNCLASSIFIED,bone,ewings_sarcoma,0.005779,0.576131,
,SU-DHL-5,DLBC,blood,B_cell_lymphoma,0.00578,0.587046,
,639-V,BLCA,urogenital_system,bladder,0.005836,0.579116,
,SK-ES-1,UNCLASSIFIED,bone,ewings_sarcoma,0.00584,0.582439,
,BONNA-12,-,blood,hairy_cell_leukaemia,0.005864,0.581628,
,P32-ISH,UNCLASSIFIED,blood,Burkitt_lymphoma,0.005887,0.589485,
,NB4,LAML,blood,acute_myeloid_leukaemia,0.005928,0.589645,
,SCC-3,DLBC,blood,B_cell_lymphoma,0.005987,0.589857,
,CESS,LAML,blood,acute_myeloid_leukaemia,0.006125,0.589212,
,BALL-1,UNCLASSIFIED,blood,B_cell_leukemia,0.006145,0.593879,
,ES8,UNCLASSIFIED,bone,ewings_sarcoma,0.006203,0.592446,
,ES7,UNCLASSIFIED,bone,ewings_sarcoma,0.006442,0.59266,
,CADO-ES1,UNCLASSIFIED,bone,ewings_sarcoma,0.006445,0.594983,
,JM1,DLBC,blood,B_cell_lymphoma,0.006584,0.605273,
,SUP-B15,ALL,blood,lymphoblastic_leukemia,0.006591,0.603649,
,697,UNCLASSIFIED,blood,lymphoblastic_leukemia,0.006647,0.604599,
,MV-4-11,UNCLASSIFIED,blood,leukemia,0.006845,0.60973,
,MOLT-4,ALL,blood,lymphoblastic_leukemia,0.006873,0.608945,
,P12-ICHIKAWA,ALL,blood,lymphoblastic_T_cell_leukaemia,0.006928,0.608972,
,HC-1,UNCLASSIFIED,blood,hairy_cell_leukaemia,0.007011,0.606474,
,BV-173,LCML,blood,chronic_myeloid_leukaemia,0.007014,0.606849,
,EW-12,UNCLASSIFIED,bone,ewings_sarcoma,0.007016,0.607619,
,NAMALWA,UNCLASSIFIED,blood,Burkitt_lymphoma,0.007051,0.610939,
,KOPN-8,UNCLASSIFIED,blood,B_cell_leukemia,0.007218,0.61097,
,OCI-AML2,LAML,blood,acute_myeloid_leukaemia,0.007394,0.620155,
,MHH-CALL-2,UNCLASSIFIED,blood,B_cell_leukemia,0.007476,0.617433,
,MOLM-13,LAML,blood,acute_myeloid_leukaemia,0.007521,0.622614,
,EW-3,UNCLASSIFIED,bone,ewings_sarcoma,0.00755,0.605313,
,KE-37,ALL,blood,lymphoblastic_leukemia,0.007553,0.623336,
,SLVL,DLBC,blood,B_cell_lymphoma,0.007588,0.613212,
,COR-L279,SCLC,lung,lung_small_cell_carcinoma,0.007613,0.616412,
,ESS-1,UNCLASSIFIED,urogenital_system,endometrium,0.007639,0.616997,
Etoposide,NTERA-2-cl-D1,UNCLASSIFIED,urogenital_system,testis,0.014749,0.032005,C[C@@H]1OC[C@@H]2[C@@H](O1)[C@@H]([C@H]([C@@H](O2)O[C@H]3[C@H]4COC(=O)[C@@H]4[C@@H](C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O
,SK-UT-1,UNCLASSIFIED,soft_tissue,soft_tissue_other,0.055215,0.105987,
,SU-DHL-5,DLBC,blood,B_cell_lymphoma,0.067859,0.0796,
,A253,UNCLASSIFIED,aero_digestive_tract,head_and_neck,0.071384,0.142069,
,SW982,UNCLASSIFIED,soft_tissue,soft_tissue_other,0.07727,0.14619,
,HT-144,SKCM,skin,melanoma,0.090768,0.183774,
,8-MG-BA,GBM,nervous_system,glioma,0.093718,0.151245,
,CGTH-W-1,THCA,thyroid,thyroid,0.094861,0.163307,
,SUP-B15,ALL,blood,lymphoblastic_leukemia,0.100223,0.168966,
,OCUB-M,BRCA,breast,breast,0.107308,0.156874,
,BB30-HNC,HNSC,aero_digestive_tract,head_and_neck,0.114415,0.186277,
,PA-1,UNCLASSIFIED,urogenital_system,ovary,0.119963,0.151855,
,HT-1080,UNCLASSIFIED,soft_tissue,fibrosarcoma,0.122846,0.182559,
,KE-37,ALL,blood,lymphoblastic_leukemia,0.123548,0.149464,
,EW-13,UNCLASSIFIED,bone,ewings_sarcoma,0.127751,0.218473,
,DU-4475,BRCA,breast,breast,0.134831,0.185177,
,OCI-LY-19,DLBC,blood,B_cell_lymphoma,0.138558,0.193277,
,TE-9,ESCA,aero_digestive_tract,oesophagus,0.13876,0.217046,
,HGC-27,STAD,digestive_system,stomach,0.141972,0.184458,
,SIG-M5,LAML,blood,acute_myeloid_leukaemia,0.143578,0.166381,
,MC-IXC,NB,nervous_system,neuroblastoma,0.150208,0.168383,
,IHH-4,THCA,thyroid,thyroid,0.150251,0.190524,
,EW-7,UNCLASSIFIED,bone,ewings_sarcoma,0.159966,0.214516,
,RH-1,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,0.162105,0.201792,
,A427,UNCLASSIFIED,lung,lung_NSCLC_not_specified,0.163017,0.234399,
,ES8,UNCLASSIFIED,bone,ewings_sarcoma,0.163335,0.222996,
,MV-4-11,UNCLASSIFIED,blood,leukemia,0.1651,0.21553,
,Hs-633T,UNCLASSIFIED,soft_tissue,fibrosarcoma,0.166139,0.209353,
,QIMR-WIL,LAML,blood,acute_myeloid_leukaemia,0.170165,0.235498,
,CCRF-CEM,ALL,blood,lymphoblastic_leukemia,0.185009,0.238643,
,Farage,DLBC,blood,B_cell_lymphoma,0.18597,0.223068,
,HuTu-80,UNCLASSIFIED,digestive_system,digestive_system_other,0.186881,0.221808,
,LOUCY,ALL,blood,lymphoblastic_T_cell_leukaemia,0.18926,0.220612,
,COLO-679,SKCM,skin,melanoma,0.19026,0.264264,
,JM1,DLBC,blood,B_cell_lymphoma,0.190557,0.227205,
,GA-10,UNCLASSIFIED,blood,Burkitt_lymphoma,0.194334,0.249692,
,REH,UNCLASSIFIED,blood,B_cell_leukemia,0.200228,0.249448,
,EW-16,UNCLASSIFIED,bone,ewings_sarcoma,0.209901,0.265656,
,NALM-6,UNCLASSIFIED,blood,B_cell_leukemia,0.217465,0.246635,
,SW620,COREAD,digestive_system,large_intestine,0.228365,0.275342,
,RS4-11,ALL,blood,leukemia,0.234355,0.275214,
,NCI-H460,UNCLASSIFIED,lung,lung_NSCLC_large_cell,0.238763,0.273367,
,NB69,NB,nervous_system,neuroblastoma,0.242539,0.271889,
,RPMI-8402,ALL,blood,lymphoblastic_T_cell_leukaemia,0.244077,0.263505,
,MOLT-4,ALL,blood,lymphoblastic_leukemia,0.24635,0.266347,
,ES1,UNCLASSIFIED,bone,ewings_sarcoma,0.24693,0.294445,
,LU-135,SCLC,lung,lung_small_cell_carcinoma,0.252941,0.284829,
,NCI-H2030,LUAD,lung,lung_NSCLC_adenocarcinoma,0.269416,0.306694,
,KYSE-270,ESCA,aero_digestive_tract,oesophagus,0.275497,0.290248,
Irinotecan,SBC-3,SCLC,lung,lung_small_cell_carcinoma,0.277044,0.29109,CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)[C@@]4(CC)O)C2=NC5=C1C=C(C=C5)OC(=O)N6CCC(CC6)N7CCCCC7
,EW-3,UNCLASSIFIED,bone,ewings_sarcoma,0.036472,0.297899,
,EW-13,UNCLASSIFIED,bone,ewings_sarcoma,0.038409,0.295047,
,NCI-H1876,SCLC,lung,lung_small_cell_carcinoma,0.076085,0.370778,
,MC-IXC,NB,nervous_system,neuroblastoma,0.098789,0.436551,
,NCI-H1105,SCLC,lung,lung_small_cell_carcinoma,0.102984,0.444325,
,ES7,UNCLASSIFIED,bone,ewings_sarcoma,0.132568,0.436226,
,NCI-H209,SCLC,lung,lung_small_cell_carcinoma,0.174366,0.469134,
,CADO-ES1,UNCLASSIFIED,bone,ewings_sarcoma,0.191819,0.480872,
,NCI-H526,SCLC,lung,lung_small_cell_carcinoma,0.201856,0.487049,
,OCI-LY-19,DLBC,blood,B_cell_lymphoma,0.229788,0.551954,
,EW-12,UNCLASSIFIED,bone,ewings_sarcoma,0.277975,0.576434,
,EW-22,UNCLASSIFIED,bone,ewings_sarcoma,0.295662,0.533188,
,NU-DUL-1,DLBC,blood,B_cell_lymphoma,0.30045,0.589761,
,IST-SL2,SCLC,lung,lung_small_cell_carcinoma,0.31225,0.539199,
,CML-T1,LCML,blood,chronic_myeloid_leukaemia,0.319137,0.545857,
,MV-4-11,UNCLASSIFIED,blood,leukemia,0.324932,0.548662,
,DOHH-2,DLBC,blood,B_cell_lymphoma,0.396936,0.633198,
,JVM-3,CLL,blood,lymphoid_neoplasm_other,0.421101,0.577888,
,SU-DHL-5,DLBC,blood,B_cell_lymphoma,0.424015,0.584034,
,MHH-NB-11,NB,nervous_system,neuroblastoma,0.424888,0.632567,
,MOLM-13,LAML,blood,acute_myeloid_leukaemia,0.425497,0.583541,
,COR-L279,SCLC,lung,lung_small_cell_carcinoma,0.432509,0.541775,
,NCI-H1734,LUAD,lung,lung_NSCLC_adenocarcinoma,0.445882,0.639715,
,NAMALWA,UNCLASSIFIED,blood,Burkitt_lymphoma,0.459206,0.59187,
,NTERA-2-cl-D1,UNCLASSIFIED,urogenital_system,testis,0.463507,0.547211,
,MOLT-16,ALL,blood,lymphoblastic_T_cell_leukaemia,0.473518,0.598426,
,ES1,UNCLASSIFIED,bone,ewings_sarcoma,0.474712,0.553696,
,ES8,UNCLASSIFIED,bone,ewings_sarcoma,0.474926,0.595432,
,JEG-3,UNCLASSIFIED,urogenital_system,urogenital_system_other,0.483589,0.645338,
,CHP-126,NB,nervous_system,neuroblastoma,0.494538,0.637046,
,P12-ICHIKAWA,ALL,blood,lymphoblastic_T_cell_leukaemia,0.502831,0.60369,
,BONNA-12,-,blood,hairy_cell_leukaemia,0.511239,0.653386,
,WIL2-NS,UNCLASSIFIED,blood,lymphoid_neoplasm_other,0.541582,0.611295,
,RH-1,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,0.552527,0.616306,
,CAL-148,BRCA,breast,breast,0.55662,0.573089,
,SUP-B15,ALL,blood,lymphoblastic_leukemia,0.572402,0.621489,
,A3-KAW,DLBC,blood,B_cell_lymphoma,0.578448,0.622671,
,RPMI-6666,UNCLASSIFIED,blood,Hodgkin_lymphoma,0.581221,0.613257,
,P32-ISH,UNCLASSIFIED,blood,Burkitt_lymphoma,0.589736,0.627125,
,IM-9,MM,blood,myeloma,0.616836,0.629777,
,MHH-CALL-4,-,blood,B_cell_leukemia,0.627923,0.678026,
,DEL,UNCLASSIFIED,blood,lymphoid_neoplasm_other,0.643071,0.636073,
,TC-YIK,UNCLASSIFIED,urogenital_system,cervix,0.645446,0.629544,
,EW-1,UNCLASSIFIED,bone,ewings_sarcoma,0.66049,0.633146,
,CRO-AP2,DLBC,blood,B_cell_lymphoma,0.687375,0.702803,
,A673,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,0.689059,0.635801,
,HSC-39,STAD,digestive_system,stomach,0.697053,0.611851,
,ALL-PO,ALL,blood,lymphoblastic_leukemia,0.699483,0.646059,
,SUP-B8,UNCLASSIFIED,blood,B_cell_leukemia,0.701945,0.709679,
Topotecan,BALL-1,UNCLASSIFIED,blood,B_cell_leukemia,0.706233,0.648438,CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=C(C=CC(=C5CN(C)C)O)N=C4C3=C2)O
,SU-DHL-5,DLBC,blood,B_cell_lymphoma,0.005771,0.112564,
,CML-T1,LCML,blood,chronic_myeloid_leukaemia,0.010832,0.208025,
,SK-ES-1,UNCLASSIFIED,bone,ewings_sarcoma,0.014917,0.259859,
,KARPAS-231,UNCLASSIFIED,blood,B_cell_leukemia,0.015651,0.255246,
,MOLT-13,ALL,blood,lymphoblastic_T_cell_leukaemia,0.017458,0.270676,
,SU-DHL-8,DLBC,blood,B_cell_lymphoma,0.019085,0.272602,
,ALL-SIL,ALL,blood,T_cell_leukemia,0.020105,0.288032,
,DEL,UNCLASSIFIED,blood,lymphoid_neoplasm_other,0.021488,0.29368,
,NCI-H209,SCLC,lung,lung_small_cell_carcinoma,0.023246,0.316467,
,ES7,UNCLASSIFIED,bone,ewings_sarcoma,0.02335,0.320501,
,NCI-H1876,SCLC,lung,lung_small_cell_carcinoma,0.024528,0.328477,
,KY821,LAML,blood,leukemia,0.02626,0.326071,
,JSC-1,DLBC,blood,B_cell_lymphoma,0.028293,0.337277,
,P32-ISH,UNCLASSIFIED,blood,Burkitt_lymphoma,0.031693,0.342366,
,SR,UNCLASSIFIED,blood,lymphoid_neoplasm_other,0.032845,0.350497,
,MHH-CALL-2,UNCLASSIFIED,blood,B_cell_leukemia,0.033417,0.358003,
,Hs-445,UNCLASSIFIED,blood,Hodgkin_lymphoma,0.034998,0.368181,
,IMR-5,NB,nervous_system,neuroblastoma,0.037382,0.369986,
,HuO9,UNCLASSIFIED,bone,osteosarcoma,0.038653,0.383772,
,OCI-M1,LAML,blood,acute_myeloid_leukaemia,0.039666,0.378587,
,ES8,UNCLASSIFIED,bone,ewings_sarcoma,0.043317,0.392513,
,A3-KAW,DLBC,blood,B_cell_lymphoma,0.043756,0.390955,
,EW-3,UNCLASSIFIED,bone,ewings_sarcoma,0.044078,0.406984,
,DOHH-2,DLBC,blood,B_cell_lymphoma,0.044493,0.390357,
,SK-LMS-1,UNCLASSIFIED,soft_tissue,soft_tissue_other,0.044608,0.40748,
,EW-22,UNCLASSIFIED,bone,ewings_sarcoma,0.044801,0.405414,
,ATN-1,ALL,blood,lymphoblastic_T_cell_leukaemia,0.044841,0.395289,
,BALL-1,UNCLASSIFIED,blood,B_cell_leukemia,0.045245,0.395366,
,DND-41,ALL,blood,T_cell_leukemia,0.047474,0.401785,
,MOLM-13,LAML,blood,acute_myeloid_leukaemia,0.049053,0.406416,
,SUP-M2,UNCLASSIFIED,blood,anaplastic_large_cell_lymphoma,0.049103,0.405097,
,MOLT-16,ALL,blood,lymphoblastic_T_cell_leukaemia,0.051225,0.411141,
,NCI-H1651,LUAD,lung,lung_NSCLC_adenocarcinoma,0.052373,0.424295,
,TC-71,UNCLASSIFIED,bone,ewings_sarcoma,0.054147,0.423943,
,SCC-3,DLBC,blood,B_cell_lymphoma,0.056959,0.428051,
,P12-ICHIKAWA,ALL,blood,lymphoblastic_T_cell_leukaemia,0.060033,0.436154,
,CTV-1,LAML,blood,acute_myeloid_leukaemia,0.061508,0.438377,
,647-V,BLCA,urogenital_system,bladder,0.06181,0.444129,
,NALM-6,UNCLASSIFIED,blood,B_cell_leukemia,0.062715,0.443505,
,BL-41,UNCLASSIFIED,blood,Burkitt_lymphoma,0.06352,0.441963,
,RH-1,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,0.067093,0.451273,
,MM1S,MM,blood,myeloma,0.067427,0.451719,
,KOPN-8,UNCLASSIFIED,blood,B_cell_leukemia,0.06784,0.45459,
,TE-15,ESCA,aero_digestive_tract,oesophagus,0.068755,0.461097,
,NCI-H1694,SCLC,lung,lung_small_cell_carcinoma,0.06902,0.458141,
,CCRF-CEM,ALL,blood,lymphoblastic_leukemia,0.069374,0.455301,
,JVM-3,CLL,blood,lymphoid_neoplasm_other,0.070359,0.460326,
,L-540,UNCLASSIFIED,blood,Hodgkin_lymphoma,0.070642,0.459466,
,SK-MM-2,MM,blood,myeloma,0.071152,0.464329,
Dactinomycin,LB996-RCC,KIRC,kidney,kidney,0.073237,0.470242,C[C@@H]1[C@@H](C(=O)N[C@@H](C(=O)N2CCC[C@H]2C(=O)N(CC(=O)N([C@H](C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)N[C@H]6[C@H](OC(=O)[C@@H](N(C(=O)CN(C(=O)[C@@H]7CCCN7C(=O)[C@H](NC6=O)C(C)C)C)C)C(C)C)C)N)C
,SR,UNCLASSIFIED,blood,lymphoid_neoplasm_other,0.001308,0.69873,
,MOLM-13,LAML,blood,acute_myeloid_leukaemia,0.001862,0.746508,
,NEC8,UNCLASSIFIED,urogenital_system,testis,0.002992,0.805707,
,AMO-1,MM,blood,haematopoietic_neoplasm_other,0.003037,0.797928,
,DEL,UNCLASSIFIED,blood,lymphoid_neoplasm_other,0.004235,0.842807,
,EoL-1-cell,UNCLASSIFIED,blood,haematopoietic_neoplasm_other,0.004323,0.851605,
,IMR-5,NB,nervous_system,neuroblastoma,0.004655,0.849738,
,PA-1,UNCLASSIFIED,urogenital_system,ovary,0.004658,0.815082,
,DOHH-2,DLBC,blood,B_cell_lymphoma,0.004875,0.890675,
,SUP-B15,ALL,blood,lymphoblastic_leukemia,0.005065,0.863498,
,697,UNCLASSIFIED,blood,lymphoblastic_leukemia,0.005176,0.864381,
,HuTu-80,UNCLASSIFIED,digestive_system,digestive_system_other,0.00545,0.846369,
,JVM-2,CLL,blood,lymphoid_neoplasm_other,0.005909,0.825449,
,SU-DHL-5,DLBC,blood,B_cell_lymphoma,0.005986,0.90288,
,MOLT-16,ALL,blood,lymphoblastic_T_cell_leukaemia,0.006081,0.901068,
,A2780,UNCLASSIFIED,urogenital_system,ovary,0.006473,0.825609,
,AGS,STAD,digestive_system,stomach,0.006544,0.843177,
,NALM-6,UNCLASSIFIED,blood,B_cell_leukemia,0.006751,0.87108,
,RPMI-8866,LCML,blood,chronic_myeloid_leukaemia,0.007033,0.877854,
,WSU-NHL,UNCLASSIFIED,blood,lymphoid_neoplasm_other,0.007034,0.871662,
,LOXIMVI,SKCM,skin,melanoma,0.007286,0.84996,
,RS4-11,ALL,blood,leukemia,0.007716,0.897759,
,SUP-M2,UNCLASSIFIED,blood,anaplastic_large_cell_lymphoma,0.007914,0.925411,
