Name,ICD-11,MeSH,KEGG,link,MyID,ICD-11_Category
Medulloblastoma, 2A00.10, D008527,H01667,https://www.genome.jp/entry/ds_ja:H01667,57,2
Neuroblastoma, 2A02.1 2C20.3, D009447,H00043,https://www.genome.jp/entry/ds_ja:H00043,58,2
Meningioma, 2A01.00, D008579,H01556,https://www.genome.jp/entry/ds_ja:H01556,59,2
Thyroid cancer, 2D10, D013964,H00032,https://www.genome.jp/entry/ds_ja:H00032,60,2
Medullary thyroid cancer, 2D10.4, C536914,H01592,https://www.genome.jp/entry/ds_ja:H01592,61,2
Adrenal carcinoma, 2D11, D000306,H00033,https://www.genome.jp/entry/ds_ja:H00033,62,2
Malignant paraganglioma, 2D12, D010235,H01510,https://www.genome.jp/entry/ds_ja:H01510,63,2
Paraganglioma, 2E92.2, D010235,H02538,https://www.genome.jp/entry/ds_ja:H02538,63,2
Parathyroid carcinoma, 2E6B, D010282,H01558,https://www.genome.jp/entry/ds_ja:H01558,64,2
Multiple endocrine neoplasia syndrome;Wermer syndrome;Sipple syndrome, 2F7A.0, D009377,H00247,https://www.genome.jp/entry/ds_ja:H00247,65,2
Hodgkin lymphoma, 2B30, D006689,H00007,https://www.genome.jp/entry/ds_ja:H00007,66,2
Non-Hodgkin lymphoma, 2B33.5, D008228,H02418,https://www.genome.jp/entry/ds_ja:H02418,67,2
Follicular lymphoma, 2A80, D008224,H01613,https://www.genome.jp/entry/ds_ja:H01613,68,2
"Diffuse large B-cell lymphoma, not otherwise specified", 2A81.Z, D016403,H02434,https://www.genome.jp/entry/ds_ja:H02434,69,2
Mantle cell lymphoma, 2A85.5, D020522,H01464,https://www.genome.jp/entry/ds_ja:H01464,70,2
B-cell acute lymphoblastic leukemia;B-cell acute lymphocytic leukemia, 2A70, D054198,H00001,https://www.genome.jp/entry/ds_ja:H00001,71,2
T-cell acute lymphoblastic leukemia;T-cell acute lymphocytic leukemia, 2A71, D054218,H00002,https://www.genome.jp/entry/ds_ja:H00002,72,2
Burkitt lymphoma, 2A85.6, D002051,H00008,https://www.genome.jp/entry/ds_ja:H00008,73,2
Mycosis fungoides, 2B01, D009182,H01463,https://www.genome.jp/entry/ds_ja:H01463,29,2
Peripheral T cell lymphoma, 2A90, D016411,H01892,https://www.genome.jp/entry/ds_ja:H01892,74,2
Anaplastic large-cell lymphoma, 2A90.A 2A90.B, D017728,H01601,https://www.genome.jp/entry/ds_ja:H01601,75,2
Multiple myeloma, 2A83.1, D009101,H00010,https://www.genome.jp/entry/ds_ja:H00010,76,2
Chronic lymphocytic leukemia, 2A82.0, D015451,H00005,https://www.genome.jp/entry/ds_ja:H00005,77,2
Hairy cell leukemia, 2A82.2, D007943,H00006,https://www.genome.jp/entry/ds_ja:H00006,78,2
Adult T-cell leukemia, 2A90.5, D015459,H00009,https://www.genome.jp/entry/ds_ja:H00009,79,2
Acute myeloid leukemia, 2A60, D015470,H00003,https://www.genome.jp/entry/ds_ja:H00003,80,2
Acute promyelocytic leukemia, 2A60.0, D015473,H02542,https://www.genome.jp/entry/ds_ja:H02542,81,2
Chronic myeloid leukemia, 2A20.0, D015464,H00004,https://www.genome.jp/entry/ds_ja:H00004,82,2
Chronic myelomonocytic leukemia, 2A40, D015477,H02411,https://www.genome.jp/entry/ds_ja:H02411,83,2
Atypical chronic myeloid leukemia, 2A41 XH21X5 XH26U9, D054438,H02412,https://www.genome.jp/entry/ds_ja:H02412,84,X 2
Jvenile myelomonocytic leukemia, 2A42, D054429,H02541,https://www.genome.jp/entry/ds_ja:H02541,85,2
Mast-cell leukemia, 2A21.00, D007946,H01511,https://www.genome.jp/entry/ds_ja:H01511,86,2
Myelofibrosis, 2A20.2, D055728,H01605,https://www.genome.jp/entry/ds_ja:H01605,87,2
Langerhans cell histiocytosis, 2B31.2, D006646,H01512,https://www.genome.jp/entry/ds_ja:H01512,88,2
Erdheim-Chester disease, 2B31.Y, D031249,H02425,https://www.genome.jp/entry/ds_ja:H02425,89,2
Chronic eosinophilic leukemia, 2A20.3, C580364,H01590,https://www.genome.jp/entry/ds_ja:H01590,90,2
Hypereosinophilic syndrome, 2A20.3, D017681,H01599,https://www.genome.jp/entry/ds_ja:H01599,91,2
Polycythemia vera, 2A20.4, D011087,H00012,https://www.genome.jp/entry/ds_ja:H00012,92,2
Essential thrombocytosis;Thrombocythemia, 3B63, D013920,H01612,https://www.genome.jp/entry/ds_ja:H01612,93,3
Soft tissue sarcomas, 2B55 2B5A, D012509,H02427,https://www.genome.jp/entry/ds_ja:H02427,94,2
Asthma, CA23, D001249,H00079,https://www.genome.jp/entry/ds_ja:H00079,95,C
Systemic lupus erythematosus, 4A40.0, D008180,H00080,https://www.genome.jp/entry/ds_ja:H00080,96,4
Hashimoto thyroiditis, 5A03.20, D050031,H00081,https://www.genome.jp/entry/ds_ja:H00081,97,5
Graves disease, 5A02.0, D006111,H00082,https://www.genome.jp/entry/ds_ja:H00082,98,5
Graft-versus-host disease, 4B24, D006086,H00084,https://www.genome.jp/entry/ds_ja:H00084,99,4
Extrinsic allergic alveolitis;Hypersensitivity pneumonitis, CA70, D000542,H00346,https://www.genome.jp/entry/ds_ja:H00346,100,C
Rheumatoid arthritis, FA20, D001172,H00630,https://www.genome.jp/entry/ds_ja:H00630,101,F
Asthma with nasal polyps and aspirin intolerance, CA23.20, C565935,H01191,https://www.genome.jp/entry/ds_ja:H01191,102,C
Syndromic multisystem autoimmune disease, 4A43.Y, D001327,H01232,https://www.genome.jp/entry/ds_ja:H01232,103,4
Allergic contact dermatitis, EK00, D017449,H01357,https://www.genome.jp/entry/ds_ja:H01357,104,E
Atopic dermatitis, EA80, D003876,H01358,https://www.genome.jp/entry/ds_ja:H01358,105,E
Anaphylaxis, 4A84, D000707,H01359,https://www.genome.jp/entry/ds_ja:H01359,106,4
Allergic rhinitis, CA08.0, C567078,H01360,https://www.genome.jp/entry/ds_ja:H01360,107,C
Eosinophilic esophagitis, DA24.1, D057765,H01361,https://www.genome.jp/entry/ds_ja:H01361,108,D
Pediatric autoimmune neuropsychiatric disorders associated with streptococcal infection, 8E4A.0, C537163,H01452,https://www.genome.jp/entry/ds_ja:H01452,109,8
Behcet disease;Behcet syndrome, 4A62, D001528,H01476,https://www.genome.jp/entry/ds_ja:H01476,110,4
Castleman disease, 4B2Y, D005871,H01479,https://www.genome.jp/entry/ds_ja:H01479,111,4
Systemic sclerosis;Systemic scleroderma, 4A42, D012595,H01492,https://www.genome.jp/entry/ds_ja:H01492,112,4
Lupus nephritis, 4A40.0Y, D008181,H01500,https://www.genome.jp/entry/ds_ja:H01500,113,4
Sjogren syndrome, 4A43.2, D012859,H01502,https://www.genome.jp/entry/ds_ja:H01502,114,4
Vogt-Koyanagi-Harada syndrome;Vogt-Koyanagi-Harada disease;Uveomeningoencephalitic syndrome, ED63.3, D014607,H01504,https://www.genome.jp/entry/ds_ja:H01504,115,E
Adult onset Still disease;Adult Still disease, FA23, D016706,H01516,https://www.genome.jp/entry/ds_ja:H01516,116,F
IgA nephropathy;Berger disease, MF8Y, D005922,H01581,https://www.genome.jp/entry/ds_ja:H01581,117,M
Myasthenia gravis, 8C60, D009157,H01594,https://www.genome.jp/entry/ds_ja:H01594,118,8
Cutaneous lupus erythematosus, EB50 EB51, D008178,H01595,https://www.genome.jp/entry/ds_ja:H01595,119,E
Lambert-Eaton myasthenic syndrome, 8C62, D015624,H01596,https://www.genome.jp/entry/ds_ja:H01596,120,8
Juvenile idiopathic arthritis, FA24, D001171,H01672,https://www.genome.jp/entry/ds_ja:H01672,121,F
Ankylosing spondylitis;Bechterew disease, FA92, D013167,H01674,https://www.genome.jp/entry/ds_ja:H01674,122,F
Autoimmune hepatitis, DB96.0, D019693,H01685,https://www.genome.jp/entry/ds_ja:H01685,123,D
Mixed connective tissue disease, 4A43.3, D008947,H01710,https://www.genome.jp/entry/ds_ja:H01710,124,4
Infantile-onset multisystem autoimmune disease, 4A43.Y, D001327,H02540,https://www.genome.jp/entry/ds_ja:H02540,103,4
Anti-glomerular basement membrane (GBM) disease;Goodpasture syndrome, MF85, D019867,H01721,https://www.genome.jp/entry/ds_ja:H01721,125,M
Membranoproliferative glomerulonephritis, MF8Y, D015432,H01726,https://www.genome.jp/entry/ds_ja:H01726,126,M
Familial cold autoinflammatory syndrome;Familial cold urticaria, 4A60.1, D056587 C567090,H02159,https://www.genome.jp/entry/ds_ja:H02159,127,4
Thyroid eye disease;Graves ophthalmopathy, 5A02.0, D049970,H02402,https://www.genome.jp/entry/ds_ja:H02402,128,5
"Autoinflammation, immune dysregulation, and eosinophilia", 4A4Y, D056660,H02537,https://www.genome.jp/entry/ds_ja:H02537,129,4
Primary immunodeficiency disease, 4A00 4A01, D000361 D053306 D017074 D053632 D001260 D049932 D564694 D0001816 D006105 D056735 D016553 D014923 D004062,H01725,https://www.genome.jp/entry/ds_ja:H01725,130,4
Disorders of innate immunity, 4A00, D000081207,H02525,https://www.genome.jp/entry/ds_ja:H02525,131,4
WHIM syndrome, 4A00.Y, C536697,H00097,https://www.genome.jp/entry/ds_ja:H00097,132,4
Chronic granulomatous disease, 4A00.0Y, D006105,H00098,https://www.genome.jp/entry/ds_ja:H00098,133,4
Disorders of adaptive immunity, 4A01, D000081207,H02526,https://www.genome.jp/entry/ds_ja:H02526,131,4
Agammaglobulinemias, 4A01.00, D000361,H00085,https://www.genome.jp/entry/ds_ja:H00085,134,4
"Hyper IgM syndromes, autosomal recessive type", 4A01.05, D053306,H00086,https://www.genome.jp/entry/ds_ja:H00086,135,4
Common variable immunodeficiency, 4A01.0Z, D017074,H00088,https://www.genome.jp/entry/ds_ja:H00088,136,4
T-B+Severe combined immunodeficiency, 4A01.10, D053632,H00091,https://www.genome.jp/entry/ds_ja:H00091,137,4
T-B-Severe combined immunodeficiency, 4A01.10, C563440,H00092,https://www.genome.jp/entry/ds_ja:H00092,138,4
T+B+Severe combined immunodeficiencies (SCIDs), 4A01.10, C563311,H01244,https://www.genome.jp/entry/ds_ja:H01244,139,4
Combined immunodeficiency, 4A01.1, D053632,H00093,https://www.genome.jp/entry/ds_ja:H00093,137,4
Other humoral immunodeficiencies, 4A01.1Y, C537362,H00087,https://www.genome.jp/entry/ds_ja:H00087,140,4
Immunodeficiency-centromeric instability-facial anomalies syndrome, 4A01.00, C537362,H02308,https://www.genome.jp/entry/ds_ja:H02308,140,4
"Severe combined immunodeficiency with microcephaly, growth retardation, and sensitivity to ionizing radiation;NHEJ1 syndrome", 4A01.1Y, C566970,H00924,https://www.genome.jp/entry/ds_ja:H00924,141,4
Autoimmune lymphoproliferative syndromes, 4A01.22, D056735,H00108,https://www.genome.jp/entry/ds_ja:H00108,142,4
Growth hormone insensitivity with immunodeficiency, 5A61.0, C537871,H00931,https://www.genome.jp/entry/ds_ja:H00931,143,5
RIDDLE syndrome, 4A01.31, C567453,H00962,https://www.genome.jp/entry/ds_ja:H00962,144,4
T-cell immunodeficiency congenital alopecia and nail dystrophy, 4A01.1Y, C536781,H01181,https://www.genome.jp/entry/ds_ja:H01181,145,4
Immunodeficiency associated with DNA repair defects, 4A01.31, D001260 D049932 C564694 D001816,H00094,https://www.genome.jp/entry/ds_ja:H00094,146,4
Familial hemophagocytic lymphohistiocytosis, 4A01.23, D056735,H00109,https://www.genome.jp/entry/ds_ja:H00109,142,4
Adenosine deaminase deficiency, 4A01.10, C531816,H02309,https://www.genome.jp/entry/ds_ja:H02309,147,4
Reticular dysgenesis, 4A01.10, C538361,H01128,https://www.genome.jp/entry/ds_ja:H01128,148,4
Omenn syndrome, 4A01.10, D016511,H02554,https://www.genome.jp/entry/ds_ja:H02554,149,4
Ataxia telangiectasia;Louis-Bar syndrome;Boder-Sedgwick syndrome, 4A01.31, D001260,H00064,https://www.genome.jp/entry/ds_ja:H00064,150,4
Nijmegen breakage syndrome, 4A01.31, D049932 C567767,H01344,https://www.genome.jp/entry/ds_ja:H01344,151,4
BILU syndrome, 4A01.3, C563745,H02574,https://www.genome.jp/entry/ds_ja:H02574,152,4
Ectodermal dysplasia associated immunodeficiency, LD27.0Y, C567411 C536181,H00095,https://www.genome.jp/entry/ds_ja:H00095,153,L
Immunodeficiency without anhidrotic ectodermal dysplasia, 4A0Y, C536289,H01245,https://www.genome.jp/entry/ds_ja:H01245,154,4
"Darsun syndrome;Neutropenia, severe congenital 4, autosomal recessive;G6PC3 deficiency", 4B00.00, C567260,H00939,https://www.genome.jp/entry/ds_ja:H00939,155,4
Chediak-Higashi syndrome, EC23.20, D002609,H02021,https://www.genome.jp/entry/ds_ja:H02021,156,E
Neutrophil specific granule deficiency, 4A00.0Y, C562873,H02024,https://www.genome.jp/entry/ds_ja:H02024,157,4
Myeloperoxidase deficiency, 4A00.0Y 5C58, C562864,H02025,https://www.genome.jp/entry/ds_ja:H02025,158,5 4
"Pyogenic bacterial infections, recurrent, due to MYD88 deficiency", 4A00.2, C567379,H00721,https://www.genome.jp/entry/ds_ja:H00721,159,4
Immune thrombocytopenia;Autoimmune thrombocytopenic purpura, 3B64.10, D016553,H01240,https://www.genome.jp/entry/ds_ja:H01240,160,3
Wiskott-Aldrich syndrome, 3B62.0Y, D014923,H01523,https://www.genome.jp/entry/ds_ja:H01523,161,3
DiGeorge syndrome, LD44.N0, D004062,H01524,https://www.genome.jp/entry/ds_ja:H01524,162,L
Hyper-IgE syndrome;Job syndrome;Buckley syndrome, 4A01.34, D007589,H01968,https://www.genome.jp/entry/ds_ja:H01968,163,4
X-linked lymphoproliferative syndrome;Duncan disease, 4A01.22, D008232,H01969,https://www.genome.jp/entry/ds_ja:H01969,164,4
Lymphoproliferative syndrome, 4A01.22, C567815,H01970,https://www.genome.jp/entry/ds_ja:H01970,165,4
"IPEX syndrome;Immune dysregulation, polyendocrinopathy, enteropathy, X-linked syndrome", 4A01.21, C580192,H01971,https://www.genome.jp/entry/ds_ja:H01971,166,4
Autoimmune polyendocrinopathy syndrome type 1;Autoimmune polyendocrinopathy-candidiasis-ectodermal dystrophy (APECED), 5B00, C538275,H01972,https://www.genome.jp/entry/ds_ja:H01972,167,5
Crohn disease, DD70, D003424,H00286,https://www.genome.jp/entry/ds_ja:H00286,168,D
Ulcerative colitis, DD71, D003093,H01466,https://www.genome.jp/entry/ds_ja:H01466,169,D
Inflammatory bowel disease (IBD), DD70 DD71 DD72, D015212,H01227,https://www.genome.jp/entry/ds_ja:H01227,170,D
Blau syndrome, 4A60.Y, C538157,H00285,https://www.genome.jp/entry/ds_ja:H00285,171,4
"Sarcoidosis, early-onset", 4B20, D012507,H01309,https://www.genome.jp/entry/ds_ja:H01309,172,4
"Pyogenic sterile arthritis, pyoderma gangrenosum, and acne syndrome", 4A60.Y, C536253,H00287,https://www.genome.jp/entry/ds_ja:H00287,173,4
Familial Mediterranean fever;Familial hereditary periodic fever syndromes, 4A60.0, D010505,H00288,https://www.genome.jp/entry/ds_ja:H00288,174,4
Cryopyrin associated periodic syndrome, 4A60.1, D056587,H00282,https://www.genome.jp/entry/ds_ja:H00282,175,4
Muckle-Wells syndrome, 4A60.1, D056587,H02555,https://www.genome.jp/entry/ds_ja:H02555,175,4
CINCA syndrome;Chronic infantile neurologic cutaneous and articular syndrome, 4A60.1, D056587,H02556,https://www.genome.jp/entry/ds_ja:H02556,175,4
Aicardi-Goutieres syndrome, 5C55.2 8A2Y, C535607,H00290,https://www.genome.jp/entry/ds_ja:H00290,176,8 5
Mevalonate kinase deficiency, 5C52.10, D054078,H00206,https://www.genome.jp/entry/ds_ja:H00206,177,5
Tumor necrosis factor receptor-associated periodic syndrome;Familial periodic fever, 4A60.2, C536657,H00912,https://www.genome.jp/entry/ds_ja:H00912,178,4
Chronic mucocutaneous candidiasis;Familial candidiasis (CANDF), 1F23.14, D002178,H01109,https://www.genome.jp/entry/ds_ja:H01109,179,1
Chronic recurrent multifocal osteomyelitis;Majeed syndrome, 4A00.Y, C537839,H01117,https://www.genome.jp/entry/ds_ja:H01117,180,4
Carboxypeptidase N deficiency, 4A00.1Y, C562876,H01136,https://www.genome.jp/entry/ds_ja:H01136,181,4
Neuromyelitis optica;Devic disease, 8A43, D009471,H01491,https://www.genome.jp/entry/ds_ja:H01491,182,8
Chronic inflammatory demyelinating polyradiculoneuropathy, 8C01.3, D020277,H01527,https://www.genome.jp/entry/ds_ja:H01527,183,8
Fisher syndrome;Miller Fisher syndrome, 8C01.0, D019846,H01689,https://www.genome.jp/entry/ds_ja:H01689,184,8
Giant cell arteritis;Temporal arteritis, 4A44.2, D013700,H01698,https://www.genome.jp/entry/ds_ja:H01698,185,4
HTLV1-associated myelopathy;Tropical spastic paraparesis, 8A45.00, D015493,H01724,https://www.genome.jp/entry/ds_ja:H01724,186,8
Rasmussen encephalitis;Rasmussen syndrome, 8A62.Y, D004660,H01812,https://www.genome.jp/entry/ds_ja:H01812,187,8
Sydenham chorea;Chorea minor, 1B42, D002819,H01924,https://www.genome.jp/entry/ds_ja:H01924,188,1
"Vici syndrome;Immunodeficiency with cleft lip/palate, cataract, hypopigmentation, and absent corpus callosum", 4A01.1Y, C535566,H02133,https://www.genome.jp/entry/ds_ja:H02133,189,4
X-linked reticulate pigmentary disorder with systemic manifestations, 5D00.2, C564461,H02484,https://www.genome.jp/entry/ds_ja:H02484,190,5
Proteasome-associated autoinflammatory syndrome, 4A60.Y, D056660,H02532,https://www.genome.jp/entry/ds_ja:H02532,129,4
Alzheimer disease;Dementia due to Alzheimer disease, 8A20, D000544,H00056,https://www.genome.jp/entry/ds_ja:H00056,191,8
Lewy body dementia (LBD);Dementia with Lewy bodies (DLB), 8A22, D020961,H00066,https://www.genome.jp/entry/ds_ja:H00066,192,8
Parkinson disease, 8A00.0, D010300,H00057,https://www.genome.jp/entry/ds_ja:H00057,193,8
Parkinsonian syndrome, 8A00, D020734,H01600,https://www.genome.jp/entry/ds_ja:H01600,194,8
Amyotrophic lateral sclerosis (ALS);Lou Gehrig disease, 8B60.0, D000690,H00058,https://www.genome.jp/entry/ds_ja:H00058,195,8
Huntington disease, 8A01.10, D006816,H00059,https://www.genome.jp/entry/ds_ja:H00059,196,8
Huntington disease-like syndrome, 8A01.11, C580174,H01243,https://www.genome.jp/entry/ds_ja:H01243,197,8
Spinal and bulbar muscular atrophy (SBMA);Kennedy disease, 8B61.4, D020966,H00062,https://www.genome.jp/entry/ds_ja:H00062,198,8
Spinocerebellar ataxia (SCA), 8A03.16, D020754,H00063,https://www.genome.jp/entry/ds_ja:H00063,199,8
Machado-Joseph disease;Spinocerebellar ataxia 3, 8A03.16, D017827,H01478,https://www.genome.jp/entry/ds_ja:H01478,200,8
Autosomal recessive spinocerebellar ataxias, 8A03.16, D020754,H01891,https://www.genome.jp/entry/ds_ja:H01891,199,8
Autosomal recessive spinocerebellar ataxias with axonal neuropathy, 8A03.16, D020754,H02573,https://www.genome.jp/entry/ds_ja:H02573,199,8
Autosomal recessive spastic ataxia of Charlevoix-Saguenay, 8A03.1Y, C536787,H01170,https://www.genome.jp/entry/ds_ja:H01170,201,8
Cerebellar ataxia cayman type;Cayman ataxia, 8A03.1Y, C563363,H01038,https://www.genome.jp/entry/ds_ja:H01038,202,8
Prion disease;Creutzfeldt-Jacob disease (CJD);Gerstmann-Straussler disease (GSD);Gerstmann-Straussler-Scheinker disease (GSSD);Fatal familial insomnia (FFI), 8E00 8E01 8E02 8E03 8E0Y, D017096,H00061,https://www.genome.jp/entry/ds_ja:H00061,203,8
Ataxia telangiectasia;Louis-Bar syndrome;Boder-Sedgwick syndrome, 4A01.31, D001260,H00064,https://www.genome.jp/entry/ds_ja:H00064,150,4
Ataxia-telangiectasia-like syndrome, 4A01.31, C565779,H02014,https://www.genome.jp/entry/ds_ja:H02014,204,4
Alexander disease, 8A44.2, D038261,H00065,https://www.genome.jp/entry/ds_ja:H00065,205,8
Refsum disease;Heredopathia atactica polyneuritiformis, 5C57.1, D012035,H00075,https://www.genome.jp/entry/ds_ja:H00075,206,5
Friedreich ataxia, 8A03.10, D005621,H00067,https://www.genome.jp/entry/ds_ja:H00067,207,8
Leber hereditary optic atrophy;Leber optic atrophy, 9C40.B 8C73.Y, D029242,H00068,https://www.genome.jp/entry/ds_ja:H00068,208,8 9
Cockayne syndrome, LD2B, D003057,H00076,https://www.genome.jp/entry/ds_ja:H00076,209,L
Progressive supranuclear palsy;Steele-Richardson-Olszewski syndrome, 8A00.10, D013494,H00077,https://www.genome.jp/entry/ds_ja:H00077,210,8
Frontotemporal lobar degeneration, 8A23, D057174,H00078,https://www.genome.jp/entry/ds_ja:H00078,211,8
Frontotemporal dementia and amyotrophic lateral sclerosis, 8B60.5, C566288,H02342,https://www.genome.jp/entry/ds_ja:H02342,212,8
Canavan disease, 5C50.E1, D017825,H00074,https://www.genome.jp/entry/ds_ja:H00074,213,5
Charcot-Marie-Tooth disease;Hereditary motor and sensory neuropathy, 8C20.0 8C20.1 8C20.2, D002607,H00264,https://www.genome.jp/entry/ds_ja:H00264,214,8
Spinal muscular atrophy, 8B61, D009134,H00455,https://www.genome.jp/entry/ds_ja:H00455,215,8
McLeod syndrome, 8A01.1Y, C564038,H00655,https://www.genome.jp/entry/ds_ja:H00655,216,8
Neurodegeneration with brain iron accumulation, 5C64.10, D006211 D019150 C565699 C548080,H00833,https://www.genome.jp/entry/ds_ja:H00833,217,5
Aceruloplasminemia;Ceruloplasmin deficiency, 3A00.Y, C536004,H02206,https://www.genome.jp/entry/ds_ja:H02206,218,3
Kufor-Rakeb syndrome;Parkinson disease 9, 5C64.10, C537177,H02207,https://www.genome.jp/entry/ds_ja:H02207,219,5
