drugbank_accession_number,generic_name,type,Sequence,groups,ECFP,MeSH,MyID,ecfp_cluster
DB00091,Cyclosporine,Small Molecule,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,approved investigational vet_approved,"[1, 5, 19, 38, 47, 80, 101, 115, 126, 132, 186, 208, 219, 227, 250, 253, 269, 283, 294, 296, 301, 314, 335, 370, 476, 552, 650, 656, 675, 694, 725, 743, 749, 798, 807, 826, 844, 878, 893, 919, 926, 934, 935, 1019, 1034, 1057, 1114, 1118, 1139, 1145, 1157, 1190, 1222, 1309, 1356, 1373, 1380, 1454, 1495, 1506, 1516, 1564, 1613, 1620, 1662, 1689, 1693, 1709, 1718, 1785, 1831, 1847, 1946, 2008]",D016572,8,C
DB00104,Octreotide,Small Molecule,[H][C@]1(NC(=O)[C@H](CCCCN)NC(=O)[C@@H](CC2=CNC3=C2C=CC=C3)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CSSC[C@H](NC1=O)C(=O)N[C@H](CO)[C@@H](C)O)NC(=O)[C@H](N)CC1=CC=CC=C1)[C@@H](C)O,approved investigational,"[1, 79, 80, 115, 117, 119, 222, 227, 282, 283, 301, 314, 328, 334, 355, 362, 364, 387, 389, 402, 435, 457, 458, 474, 482, 509, 573, 608, 650, 675, 687, 689, 786, 806, 807, 812, 820, 828, 832, 857, 917, 926, 957, 966, 981, 1006, 1017, 1019, 1034, 1057, 1066, 1082, 1088, 1114, 1152, 1171, 1184, 1199, 1244, 1342, 1349, 1357, 1380, 1399, 1456, 1498, 1502, 1506, 1516, 1517, 1543, 1573, 1607, 1659, 1689, 1693, 1739, 1750, 1754, 1783, 1828, 1840, 1849, 1873, 1879, 1911, 1917, 1923, 1937, 2000]",D015282,9,C
DB00106,Abarelix,Small Molecule,CC(C)C[C@H](NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)N(C)C(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=C(C=CC=C2)C=C1)NC(C)=O)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,approved investigational withdrawn,"[1, 79, 80, 108, 117, 140, 143, 151, 193, 203, 216, 222, 242, 245, 280, 283, 307, 310, 322, 354, 374, 376, 378, 437, 446, 460, 482, 488, 512, 531, 552, 561, 573, 592, 598, 624, 645, 650, 667, 680, 689, 726, 736, 739, 745, 759, 782, 798, 800, 807, 816, 857, 875, 881, 926, 927, 935, 953, 989, 1017, 1019, 1028, 1043, 1057, 1066, 1070, 1087, 1088, 1110, 1152, 1163, 1171, 1199, 1212, 1242, 1259, 1283, 1287, 1290, 1313, 1325, 1380, 1387, 1393, 1433, 1442, 1480, 1482, 1535, 1551, 1559, 1586, 1602, 1603, 1616, 1683, 1750, 1754, 1778, 1802, 1811, 1847, 1855, 1864, 1866, 1873, 1898, 1911, 1917, 1921, 1990, 2006, 2016, 2030]",C423508,10,C
DB00114,Pyridoxal phosphate,Small Molecule,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O,approved investigational nutraceutical,"[80, 92, 110, 154, 156, 192, 202, 284, 295, 315, 350, 353, 378, 409, 472, 486, 650, 694, 695, 745, 807, 1004, 1057, 1063, 1134, 1349, 1380, 1452, 1535, 1602, 1716, 1722, 1819, 1838, 1873]",D011732,11,A
DB00115,Cyanocobalamin,Small Molecule,C[C@H](CNC(=O)CC[C@]1(C)[C@@H](CC(N)=O)[C@H]2N=C1\C(C)=C1/N=C(/C=C3\N=C(\C(\C)=C4\[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@@]2(C)N4[Co+]C#N)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]1CCC(N)=O)OP([O-])(=O)O[C@@H]1[C@@H](CO)O[C@@H]([C@@H]1O)N1C=NC2=C1C=C(C)C(C)=C2,approved nutraceutical,"[1, 35, 41, 45, 49, 75, 80, 84, 106, 140, 188, 192, 194, 197, 218, 222, 277, 283, 285, 295, 299, 345, 370, 378, 468, 481, 486, 545, 546, 563, 577, 580, 602, 606, 607, 610, 615, 643, 650, 656, 674, 679, 691, 695, 715, 734, 774, 790, 795, 807, 829, 832, 846, 875, 901, 925, 927, 929, 932, 935, 952, 986, 987, 1000, 1004, 1018, 1019, 1024, 1033, 1056, 1057, 1060, 1093, 1097, 1099, 1105, 1152, 1154, 1171, 1176, 1206, 1222, 1239, 1257, 1273, 1274, 1380, 1384, 1391, 1435, 1438, 1452, 1453, 1487, 1508, 1516, 1533, 1534, 1564, 1589, 1608, 1617, 1640, 1681, 1691, 1714, 1722, 1737, 1742, 1755, 1764, 1785, 1800, 1827, 1837, 1839, 1846, 1870, 1873, 1898, 1917, 1921, 1944, 1950, 1990, 2016, 2023, 2025]",D014805,12,C
DB00117,Histidine,Small Molecule,N[C@@H](CC1=CNC=N1)C(O)=O,investigational nutraceutical,"[1, 79, 80, 378, 389, 575, 625, 650, 713, 724, 785, 786, 807, 931, 1114, 1145, 1171, 1221, 1380, 1427, 1452, 1633, 1758, 1844, 1849, 1873, 1879, 1917]",D006639,13,A
DB00118,Ademetionine,Small Molecule,C[S+](CC[C@H](N)C([O-])=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N,approved investigational nutraceutical,"[1, 75, 80, 194, 209, 348, 362, 378, 454, 457, 489, 577, 610, 620, 640, 650, 656, 715, 739, 766, 786, 807, 918, 932, 933, 935, 962, 1019, 1033, 1057, 1095, 1099, 1171, 1176, 1226, 1253, 1257, 1380, 1381, 1452, 1457, 1459, 1487, 1543, 1572, 1582, 1638, 1696, 1715, 1724, 1788, 1810, 1844, 1849, 1873, 1917, 1921]",D012436,14,B
DB00119,Pyruvic acid,Small Molecule,CC(=O)C(O)=O,approved investigational nutraceutical,"[389, 446, 636, 650, 807, 1017, 1057, 1194, 1917]",D019289,15,E
DB11194,Pyruvic acid,Small Molecule,CC(=O)C(O)=O,approved investigational nutraceutical,"[389, 446, 636, 650, 807, 1017, 1057, 1194, 1917]",D019289,15,E
DB00120,Phenylalanine,Small Molecule,N[C@@H](CC1=CC=CC=C1)C(O)=O,approved investigational nutraceutical,"[1, 79, 80, 389, 650, 786, 807, 857, 1017, 1066, 1088, 1171, 1199, 1221, 1380, 1427, 1750, 1754, 1844, 1849, 1873, 1917]",D010649,16,A
DB00121,Biotin,Small Molecule,[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2,approved investigational nutraceutical,"[58, 80, 301, 314, 334, 389, 398, 431, 650, 655, 675, 807, 832, 926, 983, 998, 1019, 1110, 1114, 1267, 1277, 1283, 1287, 1323, 1380, 1487, 1564, 1737, 1766, 1796, 1828, 1911, 1917, 1974]",D001710,17,C
DB00122,Choline,Small Molecule,C[N+](C)(C)CCO,approved nutraceutical,"[80, 222, 319, 379, 414, 473, 606, 628, 807, 913, 1057, 1360]",D002794,18,E
DB00123,Lysine,Small Molecule,NCCCC[C@H](N)C(O)=O,approved nutraceutical,"[1, 80, 389, 412, 650, 739, 786, 807, 981, 1082, 1171, 1283, 1427, 1517, 1791, 1840, 1844, 1849, 1911, 1917]",D008239,19,E
DB11101,Lysine,Small Molecule,NCCCC[C@H](N)C(O)=O,approved nutraceutical,"[1, 80, 389, 412, 650, 739, 786, 807, 981, 1082, 1171, 1283, 1427, 1517, 1791, 1840, 1844, 1849, 1911, 1917]",D008239,19,E
DB00125,Arginine,Small Molecule,N[C@@H](CCCNC(N)=N)C(O)=O,investigational nutraceutical,"[1, 80, 140, 197, 389, 412, 623, 650, 667, 708, 739, 786, 807, 894, 983, 1104, 1152, 1171, 1427, 1451, 1791, 1844, 1849, 1876, 1911, 1917]",D001120,20,E
DB00126,Ascorbic acid,Small Molecule,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,approved nutraceutical,"[1, 80, 222, 227, 314, 423, 482, 486, 516, 532, 650, 656, 750, 794, 807, 971, 1019, 1088, 1096, 1380, 1389, 1602, 1699, 1883, 2022]",D001205,21,E
DB11167,Ascorbic acid,Small Molecule,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,approved nutraceutical,"[1, 80, 222, 227, 314, 423, 482, 486, 516, 532, 650, 656, 750, 794, 807, 971, 1019, 1088, 1096, 1380, 1389, 1602, 1699, 1883, 2022]",D001205,21,E
DB11316,Ascorbic acid,Small Molecule,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,approved nutraceutical,"[1, 80, 222, 227, 314, 423, 482, 486, 516, 532, 650, 656, 750, 794, 807, 971, 1019, 1088, 1096, 1380, 1389, 1602, 1699, 1883, 2022]",D001205,21,E
DB11170,Ascorbic acid,Small Molecule,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,approved nutraceutical,"[1, 80, 222, 227, 314, 423, 482, 486, 516, 532, 650, 656, 750, 794, 807, 971, 1019, 1088, 1096, 1380, 1389, 1602, 1699, 1883, 2022]",D001205,21,E
DB09541,Ascorbic acid,Small Molecule,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,approved nutraceutical,"[1, 80, 222, 227, 314, 423, 482, 486, 516, 532, 650, 656, 750, 794, 807, 971, 1019, 1088, 1096, 1380, 1389, 1602, 1699, 1883, 2022]",D001205,21,E
DB11317,Ascorbic acid,Small Molecule,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,approved nutraceutical,"[1, 80, 222, 227, 314, 423, 482, 486, 516, 532, 650, 656, 750, 794, 807, 971, 1019, 1088, 1096, 1380, 1389, 1602, 1699, 1883, 2022]",D001205,21,E
DB00128,Aspartic acid,Small Molecule,N[C@@H](CC(O)=O)C(O)=O,approved nutraceutical,"[1, 70, 80, 389, 650, 776, 786, 807, 1141, 1171, 1290, 1427, 1737, 1844, 1849, 1917]",D001224,22,E
DB00129,Ornithine,Small Molecule,NCCC[C@H](N)C(O)=O,approved nutraceutical,"[1, 80, 389, 412, 650, 739, 786, 807, 981, 1171, 1427, 1517, 1791, 1840, 1844, 1849, 1911, 1917, 1958]",D009952,23,E
DB00130,L-Glutamine,Small Molecule,N[C@@H](CCC(N)=O)C(O)=O,approved investigational nutraceutical,"[1, 80, 140, 389, 545, 650, 739, 786, 807, 900, 1171, 1427, 1564, 1752, 1791, 1844, 1849, 1898, 1917]",D005973,24,E
DB00131,Adenosine phosphate,Small Molecule,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1,approved investigational nutraceutical,"[75, 80, 192, 194, 209, 253, 295, 378, 454, 486, 489, 577, 610, 650, 656, 695, 807, 863, 932, 935, 962, 1019, 1033, 1095, 1099, 1136, 1171, 1176, 1253, 1257, 1380, 1452, 1457, 1459, 1487, 1543, 1572, 1696, 1716, 1724, 1810, 1819, 1838, 1844, 1873, 1878, 1921]",D000227,25,B
DB00132,alpha-Linolenic acid,Small Molecule,CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O,approved investigational nutraceutical,"[80, 294, 389, 401, 650, 694, 749, 775, 807, 1057, 1110, 1134, 1143, 1195, 1267, 1287, 1356, 1440, 1454, 1564, 1670, 1737, 1755, 1873, 1911, 1917]",D017962,26,E
DB00133,Serine,Small Molecule,N[C@@H](CO)C(O)=O,investigational nutraceutical,"[1, 80, 222, 389, 482, 650, 786, 807, 1171, 1268, 1427, 1751, 1844, 1849, 1917]",D012694,27,E
DB03375,Serine,Small Molecule,N[C@@H](CO)C(O)=O,investigational nutraceutical,"[1, 80, 222, 389, 482, 650, 786, 807, 1171, 1268, 1427, 1751, 1844, 1849, 1917]",D012694,27,E
DB00134,Methionine,Small Molecule,CSCC[C@H](N)C(O)=O,approved nutraceutical,"[1, 11, 80, 116, 389, 394, 650, 739, 786, 807, 1021, 1057, 1171, 1182, 1427, 1558, 1791, 1844, 1849, 1917, 1942]",D008715,28,E
DB00135,Tyrosine,Small Molecule,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,approved investigational nutraceutical,"[1, 79, 80, 310, 389, 650, 745, 786, 807, 857, 1017, 1171, 1221, 1313, 1380, 1427, 1602, 1750, 1754, 1778, 1844, 1849, 1873, 1917]",D014443,29,A
DB00136,Calcitriol,Small Molecule,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C,approved nutraceutical,"[1, 8, 35, 56, 80, 114, 118, 137, 231, 243, 283, 392, 395, 444, 478, 549, 590, 678, 681, 694, 739, 753, 807, 855, 860, 890, 921, 926, 1019, 1028, 1057, 1060, 1122, 1127, 1157, 1162, 1230, 1257, 1274, 1292, 1308, 1325, 1360, 1366, 1368, 1380, 1477, 1496, 1514, 1656, 1660, 1693, 1738, 1808, 1908, 1911, 1950]",D002117,30,D
DB05314,Calcitriol,Small Molecule,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C,approved nutraceutical,"[1, 8, 35, 56, 80, 114, 118, 137, 231, 243, 283, 392, 395, 444, 478, 549, 590, 678, 681, 694, 739, 753, 807, 855, 860, 890, 921, 926, 1019, 1028, 1057, 1060, 1122, 1127, 1157, 1162, 1230, 1257, 1274, 1292, 1308, 1325, 1360, 1366, 1368, 1380, 1477, 1496, 1514, 1656, 1660, 1693, 1738, 1808, 1908, 1911, 1950]",D002117,30,D
DB00137,Lutein,Small Molecule,C\C(\C=C\C=C(/C)\C=C\[C@H]1C(C)=C[C@H](O)CC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C,approved investigational nutraceutical,"[19, 31, 55, 171, 173, 231, 259, 262, 327, 395, 432, 507, 556, 590, 614, 618, 640, 679, 694, 719, 807, 835, 897, 918, 926, 953, 978, 1017, 1019, 1057, 1060, 1108, 1228, 1232, 1257, 1274, 1288, 1319, 1380, 1407, 1515, 1576, 1626, 1668, 1722, 1742, 1750, 1827, 1873, 1957]",D014975,31,C
