"sampleid","link","CCLE.name","Cell.line.primary.name","Cell.line.aliases","Gender","Site.Primary","Histology","Hist.Subtype1","Notes","Source","Expression.arrays","SNP.arrays","Oncomap","Hybrid.Capture.Sequencing","CCLE_rnaseq.sampleid","tissueid","Cellosaurus.Disease.Type","Cellosaurus.Accession.id","PharmacoDB.id","unique.tissueid.fromstudies","CellLine.Type","Metastatic"
"A2058","http://www.broadinstitute.org/ccle/cell%20lines/A2058_SKIN","A2058_SKIN","A2058",NA,"M","skin","malignant_melanoma","NS",NA,"ATCC","GAZER_p_NCLE_Expr_P13_HG-U133_Plus_2_C11_779802","LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_H12_246800","yes","yes","A2058","Skin","Amelanotic melanoma","CVCL_1059","A2058_38_2019","skin","Cancer cell line",TRUE
"A2780","http://www.broadinstitute.org/ccle/cell%20lines/A2780_OVARY","A2780_OVARY","A2780",NA,"F","ovary","carcinoma","adenocarcinoma",NA,"ECACC","METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_C02_240900","ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_A01_256002","yes","yes","A2780","Ovary/Fallopian Tube","Ovarian endometrioid adenocarcinoma","CVCL_0134","A2780_40_2019","ovary","Cancer cell line",NA
"A3/Kawakami","http://www.broadinstitute.org/ccle/cell%20lines/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","A3/KAW",NA,"F","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","diffuse_large_B_cell_lymphoma",NA,"HSRRB","BUNDS_p_NCLE_RNA5_HG-U133_Plus_2_F06_419792","FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_G12_410936","yes","yes","A3_KAW","Lymphoid","Diffuse large B-cell lymphoma","CVCL_1062","A3KAW_41_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"A4/Fukuda","http://www.broadinstitute.org/ccle/cell%20lines/A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","A4/Fuk",NA,"F","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","diffuse_large_B_cell_lymphoma",NA,"HSRRB","BUNDS_p_NCLE_RNA5_HG-U133_Plus_2_E09_419778","FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_H10_410926","yes","yes","A4_Fuk","Lymphoid","B acute lymphoblastic leukemia","CVCL_1064","A4Fuk_44_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"ABC-1","http://www.broadinstitute.org/ccle/cell%20lines/ABC1_LUNG","ABC1_LUNG","ABC-1",NA,"M","lung","carcinoma","non_small_cell_carcinoma",NA,"HSRRB","NIECE_p_NCLE_RNA3_HG-U133_Plus_2_D12_296084","FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_B08_335226","yes","yes","ABC-1","Lung","Lung adenocarcinoma","CVCL_1066","ABC1_51_2019","lung","Cancer cell line",TRUE
"ACC-MESO-1","http://www.broadinstitute.org/ccle/cell%20lines/ACCMESO1_PLEURA","ACCMESO1_PLEURA","ACC-MESO-1",NA,NA,"pleura","mesothelioma","NS",NA,"RIKEN","BITTS_p_NCLE_RNA12_HG-U133_Plus_2_C01_698828","QUAFF_p_NCLE_DNAAffy12_GenomeWideSNP_6_G01_592656","yes","yes","ACC-MESO-1","Pleura","Pleural epithelioid mesothelioma","CVCL_5113","ACCMESO1_52_2019","pleura","Cancer cell line",NA
"ACCS","http://www.broadinstitute.org/ccle/cell%20lines/ACCS_URINARY_TRACT","ACCS_URINARY_TRACT","ACCS",NA,NA,"urinary_tract","carcinoma","transitional_cell_carcinoma","Identical lines: T24 and ACCS share high SNP identity and are likely to be T24",NA,NA,NA,NA,"yes",NA,"Bladder/Urinary Tract","Bladder carcinoma","CVCL_6876","ACCS_53_2019","urinary_tract","Cancer cell line",NA
"ACHN","http://www.broadinstitute.org/ccle/cell%20lines/ACHN_KIDNEY","ACHN_KIDNEY","ACHN",NA,"M","kidney","carcinoma","renal_cell_carcinoma",NA,"ATCC","NIECE_p_NCLE_RNA3_HG-U133_Plus_2_E08_296100","HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_B04_293310","yes","yes","ACHN","Kidney","Papillary renal cell carcinoma","CVCL_1067","ACHN_54_2019","kidney","Cancer cell line",TRUE
"AGS","http://www.broadinstitute.org/ccle/cell%20lines/AGS_STOMACH","AGS_STOMACH","AGS",NA,"F","stomach","carcinoma","adenocarcinoma",NA,"ATCC","NIECE_p_NCLE_RNA3_HG-U133_Plus_2_E04_296092","HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_E03_293380","yes","yes","AGS","Esophagus/Stomach","Gastric adenocarcinoma","CVCL_0139","AGS_56_2019","stomach","Cancer cell line",NA
"ALL-SIL","http://www.broadinstitute.org/ccle/cell%20lines/ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ALL-SIL",NA,"M","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","acute_lymphoblastic_T_cell_leukaemia",NA,"DSMZ","SILOS_p_NCLE_RNA9_HG-U133_Plus_2_C02_523526","EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_C09_780208","yes","yes","ALL-SIL","Lymphoid","Childhood T acute lymphoblastic leukemia","CVCL_1805","ALLSIL_59_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"AM-38","http://www.broadinstitute.org/ccle/cell%20lines/AM38_CENTRAL_NERVOUS_SYSTEM","AM38_CENTRAL_NERVOUS_SYSTEM","AM-38",NA,"M","central_nervous_system","glioma","astrocytoma_Grade_IV",NA,"HSRRB","BUNDS_p_NCLE_RNA5_HG-U133_Plus_2_F12_419810","PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_C08_437504","yes","yes","AM-38","CNS/Brain","Glioblastoma","CVCL_1070","AM38_60_2019","central_nervous_system","Cancer cell line",NA
"AML-193","http://www.broadinstitute.org/ccle/cell%20lines/AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","AML-193",NA,"F","haematopoietic_and_lymphoid_tissue","haematopoietic_neoplasm","acute_myeloid_leukaemia",NA,"ATCC","AGENT_p_NCLE_RNA6_HG-U133_Plus_2_A10_436614","BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_C09_464562","yes","yes","AML-193","Myeloid","Childhood acute myeloid leukemia","CVCL_1071","AML193_61_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"AMO1","http://www.broadinstitute.org/ccle/cell%20lines/AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","AMO-1",NA,"F","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","plasma_cell_myeloma",NA,"DSMZ","WATCH_p_NCLE_RNA8_HG-U133_Plus_2_H11_474690","CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_E08_490384","yes","yes","AMO-1","Lymphoid","Plasma cell myeloma","CVCL_1806","AMO1_62_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"AN3-CA","http://www.broadinstitute.org/ccle/cell%20lines/AN3CA_ENDOMETRIUM","AN3CA_ENDOMETRIUM","AN3 CA",NA,"F","endometrium","carcinoma","adenocarcinoma",NA,"ATCC","PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_D11_257690","MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_G07_578294","yes","yes","AN3_CA","Uterus","Endometrial adenocarcinoma","CVCL_0028","AN3CA_63_2019","endometrium","Cancer cell line",TRUE
"AsPC-1","http://www.broadinstitute.org/ccle/cell%20lines/ASPC1_PANCREAS","ASPC1_PANCREAS","AsPC-1",NA,"F","pancreas","carcinoma","ductal_carcinoma",NA,"ATCC","METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_E02_240948","LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_G07_246766","yes","yes","AsPC-1","Pancreas","Pancreatic ductal adenocarcinoma","CVCL_0152","AsPC1_67_2019","pancreas","Cancer cell line",TRUE
"AU565","http://www.broadinstitute.org/ccle/cell%20lines/AU565_BREAST","AU565_BREAST","AU565",NA,"F","breast","carcinoma","NS","Metastatic pair: SK-BR-3 and AU565 are from the same patient","ATCC","CASED_p_NCLE_RNA4_HG-U133_Plus_2_B02_383772","FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_C05_335244","yes","yes","AU565","Breast","Breast adenocarcinoma","CVCL_1074","AU565_70_2019","breast","Cancer cell line",TRUE
"AZ-521","http://www.broadinstitute.org/ccle/cell%20lines/AZ521_STOMACH","AZ521_STOMACH","AZ-521",NA,NA,"stomach","carcinoma","NS","Identical lines: HuTu 80 and AZ-521 share high SNP identity and are likely to be HuTu 80","HSRRB","BITTS_p_NCLE_RNA12_HG-U133_Plus_2_A09_698856","ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B02_256028","yes",NA,NA,"Esophagus/Stomach","Duodenal adenocarcinoma","CVCL_2862","AZ521_72_2019","stomach","Cancer cell line",NA
"B-CPAP","http://www.broadinstitute.org/ccle/cell%20lines/BCPAP_THYROID","BCPAP_THYROID","B-CPAP",NA,"F","thyroid","carcinoma","papillary_carcinoma",NA,"DSMZ","WATCH_p_NCLE_RNA8_HG-U133_Plus_2_G05_474666","CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_G05_490434","yes","yes","B-CPAP","Thyroid","Poorly differentiated thyroid gland carcinoma","CVCL_0153","BCPAP_82_2019","thyroid","Cancer cell line",NA
"BC-3C","http://www.broadinstitute.org/ccle/cell%20lines/BC3C_URINARY_TRACT","BC3C_URINARY_TRACT","BC-3C",NA,"F","urinary_tract","carcinoma","transitional_cell_carcinoma",NA,"DSMZ","WATCH_p_NCLE_RNA8_HG-U133_Plus_2_F07_474594","CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_C08_490450","yes",NA,"BC-3C","Bladder/Urinary Tract","Bladder carcinoma","CVCL_1958","BC3C_80_2019","urinary_tract","Cancer cell line",NA
"BCP-1","http://www.broadinstitute.org/ccle/cell%20lines/BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","BCP-1",NA,"M","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","B_cell_lymphoma_unspecified",NA,"ATCC","CASED_p_NCLE_RNA4_HG-U133_Plus_2_A12_383780","LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_F10_437220","yes","yes","BCP-1","Lymphoid","Primary effusion lymphoma","CVCL_0107","BCP1_81_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"BDCM","http://www.broadinstitute.org/ccle/cell%20lines/BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","BDCM",NA,"M","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","acute_lymphoblastic_B_cell_leukaemia",NA,"ATCC","NIECE_p_NCLE_RNA3_HG-U133_Plus_2_H04_296164","FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_E04_335290","yes","yes","BDCM","Myeloid","Acute myeloid leukemia","CVCL_4613","BDCM_83_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"Becker","http://www.broadinstitute.org/ccle/cell%20lines/BECKER_CENTRAL_NERVOUS_SYSTEM","BECKER_CENTRAL_NERVOUS_SYSTEM","Becker",NA,"M","central_nervous_system","glioma","astrocytoma_Grade_IV",NA,"HSRRB","AGENT_p_NCLE_RNA6_HG-U133_Plus_2_G05_436498","PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_D02_437524","yes","yes",NA,"CNS/Brain","Astrocytoma","CVCL_1093","Becker_86_2019","central_nervous_system","Cancer cell line",NA
"BEN","http://www.broadinstitute.org/ccle/cell%20lines/BEN_LUNG","BEN_LUNG","BEN",NA,"M","lung","carcinoma","NS",NA,"DSMZ","WATCH_p_NCLE_RNA8_HG-U133_Plus_2_C02_474694","CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_E06_490352","yes","yes","BEN","Lung","Non-small cell lung carcinoma","CVCL_1082","BEN_87_2019","lung","Cancer cell line",TRUE
"BFTC-905","http://www.broadinstitute.org/ccle/cell%20lines/BFTC905_URINARY_TRACT","BFTC905_URINARY_TRACT","BFTC-905",NA,"F","urinary_tract","carcinoma","transitional_cell_carcinoma",NA,"DSMZ","WATCH_p_NCLE_RNA8_HG-U133_Plus_2_C07_474578","CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_F03_490490","yes","yes","BFTC-905","Bladder/Urinary Tract","Bladder carcinoma","CVCL_1083","BFTC905_88_2019","urinary_tract","Cancer cell line",NA
"BFTC-909","http://www.broadinstitute.org/ccle/cell%20lines/BFTC909_KIDNEY","BFTC909_KIDNEY","BFTC-909",NA,"M","kidney","carcinoma","NS",NA,"DSMZ","WATCH_p_NCLE_RNA8_HG-U133_Plus_2_C08_474696","CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_D01_490476","yes","yes","BFTC-909","Bladder/Urinary Tract","Renal cell carcinoma","CVCL_1084","BFTC909_89_2019","urinary_tract","Cancer cell line",NA
"BGC-823",NA,NA,"BGC-823",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cervix","Human papillomavirus-related endocervical adenocarcinoma","CVCL_3360","BGC823_90_2019","stomach","Cancer cell line",NA
