BioMarkers	Paclitaxel.estimate	Paclitaxel.se	Paclitaxel.n	Paclitaxel.tstat	Paclitaxel.fstat	Paclitaxel.pvalue	Paclitaxel.df	Paclitaxel.fdr
ENSG00000198042	0.13209691	0.048120083	488	2.745151336	7.535855859	0.006282548	465	0.061057497
ENSG00000115568	0.163734929	0.048434454	488	3.380546629	11.42809551	0.000784388	465	0.015374027
ENSG00000181433	0.098473879	0.044419695	488	2.216896767	4.914631275	0.027113143	465	0.15070066
ENSG00000129071	0.097711068	0.050206959	488	1.946165851	3.787561519	0.052236812	465	0.224124688
ENSG00000092208	0.095741891	0.050162002	488	1.908653685	3.642958889	0.056922167	465	0.237065198
ENSG00000132031	-0.131344698	0.047995523	488	-2.736603101	7.488996532	0.006445422	465	0.061884504
ENSG00000183346	-0.062318248	0.044809111	488	-1.390749492	1.934184149	0.164966575	465	0.432991308
ENSG00000076641	-0.090645232	0.052620392	488	-1.722625554	2.9674388	0.085621144	465	0.301684148
ENSG00000145416	-0.037481918	0.045647821	488	-0.821110785	0.674222921	0.412003929	465	0.684028697
ENSG00000198523	-0.008904555	0.043932218	488	-0.202688492	0.041082625	0.839467173	465	0.93694822
ENSG00000204291	-0.048242186	0.050737395	488	-0.950821108	0.904060779	0.342189127	465	0.626887533
ENSG00000167693	0.018220412	0.053185982	488	0.342579218	0.117360521	0.732069838	465	0.889108824
ENSG00000151553	-0.099526927	0.044697934	488	-2.226656106	4.957997414	0.0264485	465	0.148508856
ENSG00000261257	-0.039195589	0.043732038	488	-0.896267162	0.803294826	0.370573841	465	0.65085261
ENSG00000166971	-0.066851337	0.052870458	488	-1.264436506	1.598799677	0.206706789	465	0.48515182
ENSG00000237149	-0.012645055	0.045765274	488	-0.27630239	0.076343011	0.782438581	465	0.911062985
ENSG00000141380	-0.034146316	0.045590916	488	-0.748971912	0.560958925	0.454252828	465	0.717516654
ENSG00000174898	-0.052989146	0.043942507	488	-1.205874438	1.454133159	0.228479126	465	0.511466297
ENSG00000131470	0.108465882	0.046908383	488	2.312292073	5.346694631	0.021197496	465	0.130188221
ENSG00000105281	0.130858956	0.045482741	488	2.877112346	8.277775453	0.004197927	465	0.047437527
ENSG00000129925	-0.078486587	0.046788476	488	-1.677476884	2.813928697	0.094121253	465	0.318681766
ENSG00000164816	0.035108705	0.046570137	488	0.753888816	0.568348347	0.451297557	465	0.714935306
ENSG00000126777	0.022480505	0.049248014	488	0.456475362	0.208369757	0.64826132	465	0.845638487
ENSG00000092531	0.040711562	0.047837656	488	0.851035885	0.724262078	0.395187445	465	0.671580531
ENSG00000054523	0.003235743	0.054769904	488	0.059078843	0.00349031	0.95291469	465	0.984060397
ENSG00000254842	-0.03000958	0.045441866	488	-0.66039497	0.436121516	0.509327401	465	0.759458774
ENSG00000203797	-0.046152475	0.048220342	488	-0.957116283	0.916071578	0.339005907	465	0.624237114
ENSG00000160993	0.128368806	0.043627172	488	2.942404948	8.657746881	0.00341948	465	0.041776488
ENSG00000213468	0.071106812	0.045716804	488	1.555375821	2.419193946	0.120536904	465	0.364707005
ENSG00000059758	-0.013961495	0.045029232	488	-0.31005403	0.096133501	0.756658778	465	0.900499631
ENSG00000054118	0.10440463	0.045783457	488	2.280400739	5.200227529	0.023035683	465	0.136914967
ENSG00000153044	0.256516101	0.047828792	488	5.363215101	28.76407622	1.29E-07	465	4.46E-05
ENSG00000180155	0.029402816	0.046230815	488	0.636000387	0.404496492	0.525089069	465	0.769647647
ENSG00000215196	-0.035228845	0.044088357	488	-0.799050984	0.638482476	0.424668795	465	0.69316794
ENSG00000228784	-0.005375507	0.045203045	488	-0.118919144	0.014141763	0.90539077	465	0.965056147
ENSG00000005700	-0.029187004	0.044842947	488	-0.650871671	0.423633932	0.515450815	465	0.763713862
ENSG00000185385	0.06496425	0.046588011	488	1.394441371	1.944466738	0.163850205	465	0.431418344
ENSG00000155097	0.050746423	0.045886588	488	1.105909705	1.223036275	0.269337435	465	0.55514285
ENSG00000196505	0.03805887	0.043295026	488	0.879058715	0.772744224	0.379823466	465	0.658036432
ENSG00000164619	-0.048960603	0.046802548	488	-1.046109779	1.09434567	0.296053824	465	0.583802505
ENSG00000184486	0.051973356	0.053329876	488	0.974563615	0.94977424	0.33028347	465	0.615883253
ENSG00000052841	-0.082309677	0.045070697	488	-1.826234822	3.335133626	0.068455949	465	0.265160264
ENSG00000273314	-0.002355139	0.045156846	488	-0.052154631	0.002720106	0.95842788	465	0.985389324
ENSG00000106462	0.182280413	0.050938256	488	3.578458077	12.80536221	0.000381913	465	0.009499911
ENSG00000126217	-0.064401639	0.047467921	488	-1.356740244	1.84074409	0.175522036	465	0.446201699
ENSG00000259728	-0.008444841	0.045079762	488	-0.187331089	0.035092937	0.851482759	465	0.941756011
ENSG00000134755	-0.03710035	0.054269496	488	-0.683631738	0.467352354	0.494548244	465	0.748484696
ENSG00000236751	-0.023415283	0.047536118	488	-0.492578787	0.242633861	0.622542736	465	0.829891202
ENSG00000164946	-0.018113403	0.046162499	488	-0.392383509	0.153964818	0.694954659	465	0.870225257
ENSG00000197046	0.00454254	0.047449106	488	0.095734998	0.00916519	0.923772288	465	0.972298532
ENSG00000089063	-0.066322762	0.046395311	488	-1.429514334	2.043511231	0.153527936	465	0.416847386
ENSG00000156928	0.106963849	0.046230621	488	2.313701312	5.353213761	0.021119313	465	0.130000962
ENSG00000166069	-0.0588295	0.044060206	488	-1.335207104	1.782778012	0.182461836	465	0.455563069
ENSG00000247131	-0.011733863	0.044419057	488	-0.264162818	0.069781994	0.791771496	465	0.915419572
ENSG00000163879	-0.110667388	0.04685704	488	-2.361809197	5.578142681	0.018597239	465	0.121024335
ENSG00000179542	-0.035127669	0.044175548	488	-0.79518354	0.632316862	0.426912438	465	0.694733703
ENSG00000251562	-0.138377359	0.044841458	488	-3.085924595	9.522930609	0.00215028	465	0.030429117
ENSG00000137976	-0.046274182	0.046903689	488	-0.986578742	0.973337615	0.324362259	465	0.610951922
ENSG00000170584	0.145067387	0.046021726	488	3.152150079	9.93605012	0.001725459	465	0.0261592
ENSG00000088035	0.061898645	0.046705999	488	1.325282538	1.756373807	0.185728247	465	0.459422164
ENSG00000177455	-0.060273484	0.056224347	488	-1.07201749	1.1492215	0.28426823	465	0.570931497
ENSG00000121933	-0.057197203	0.045212075	488	-1.265086888	1.600444833	0.206473781	465	0.485091046
ENSG00000132004	0.137658074	0.045251513	488	3.042065683	9.254163617	0.002482495	465	0.033780679
ENSG00000103671	0.015304657	0.044717392	488	0.342252904	0.11713705	0.732315213	465	0.889114198
ENSG00000112077	-0.044409812	0.052764652	488	-0.841658387	0.70838884	0.400411831	465	0.675301406
ENSG00000128159	-0.023853106	0.051195733	488	-0.465919798	0.217081258	0.641491071	465	0.840820659
ENSG00000160883	-0.022120671	0.047065029	488	-0.470002286	0.220902149	0.638573727	465	0.839169402
ENSG00000130175	0.09884375	0.044666402	488	2.212932882	4.897071941	0.027387198	465	0.151785568
ENSG00000204663	-0.087649837	0.044134596	488	-1.985966655	3.944063554	0.047623772	465	0.212754101
ENSG00000117594	-0.013479827	0.043650344	488	-0.308813758	0.095365937	0.757601511	465	0.900862555
ENSG00000168447	-0.012522482	0.045897627	488	-0.272835071	0.074438976	0.785101121	465	0.912245126
ENSG00000139899	-0.055219868	0.046917122	488	-1.176966216	1.385249473	0.239811094	465	0.522408327
ENSG00000125780	0.011117355	0.044265696	488	0.251150574	0.063076611	0.80180864	465	0.919441246
ENSG00000175224	-0.017695394	0.043938711	488	-0.40272902	0.162190664	0.687332665	465	0.866915425
ENSG00000179218	0.007435169	0.04698517	488	0.158245027	0.025041489	0.874332422	465	0.951504288
ENSG00000213786	0.080797395	0.043290827	488	1.866386028	3.483396806	0.062616607	465	0.251622504
ENSG00000111725	-0.142554704	0.04551043	488	-3.132352388	9.811631481	0.001843548	465	0.027405504
ENSG00000214821	0.245861171	0.045612116	488	5.390260109	29.05490404	1.12E-07	465	4.08E-05
ENSG00000149809	-0.049759003	0.049384058	488	-1.007592427	1.015242499	0.314174186	465	0.600853657
ENSG00000108700	-0.025883227	0.043712944	488	-0.592118134	0.350603885	0.554059272	465	0.790881299
ENSG00000092931	-0.017366134	0.045683291	488	-0.38014192	0.14450788	0.704013642	465	0.874532983
ENSG00000231768	0.003273241	0.044098528	488	0.074225626	0.005509444	0.940862775	465	0.980424448
ENSG00000182732	-0.026766855	0.046433122	488	-0.576460376	0.332306565	0.564582969	465	0.797591315
ENSG00000112249	0.111670029	0.045520546	488	2.453178572	6.018085105	0.014526091	465	0.103154433
ENSG00000079257	-0.042698062	0.048770923	488	-0.875481925	0.766468602	0.381763734	465	0.659464436
ENSG00000134588	0.020134156	0.0451532	488	0.445907621	0.198833607	0.655871524	465	0.849823437
ENSG00000174721	0.091465601	0.04531411	488	2.018479498	4.074259484	0.044114924	465	0.203304313
ENSG00000144962	-0.081041232	0.043645373	488	-1.856811538	3.447749086	0.063970143	465	0.254615124
ENSG00000127980	0.0312063	0.047217672	488	0.660902991	0.436792764	0.509001824	465	0.759199443
ENSG00000134873	0.015512274	0.04607552	488	0.336670627	0.113347111	0.736517096	465	0.891040954
ENSG00000109805	0.147697382	0.045303037	488	3.260209269	10.62896448	0.001195017	465	0.020344249
ENSG00000166823	0.081509715	0.045299465	488	1.799352691	3.237670106	0.072611099	465	0.274695757
ENSG00000150361	-0.035617261	0.044173777	488	-0.806298747	0.650117669	0.420482776	465	0.690992786
ENSG00000196353	-0.13175131	0.045296374	488	-2.908650278	8.46024644	0.003803742	465	0.044698429
ENSG00000163352	0.018883385	0.044703288	488	0.422416022	0.178435296	0.672916635	465	0.859780673
ENSG00000118307	-0.1105562	0.044528409	488	-2.482823948	6.164414759	0.013386224	465	0.098329325
ENSG00000278619	0.077872254	0.044841316	488	1.736618374	3.015843376	0.083116817	465	0.296513654
ENSG00000174197	0.085335088	0.049098996	488	1.738021027	3.02071709	0.082869098	465	0.296099264
ENSG00000161921	-0.016432014	0.054934064	488	-0.299122489	0.089474264	0.764980228	465	0.902754018
ENSG00000095739	-0.086180311	0.054934663	488	-1.568778381	2.461065609	0.11737979	465	0.359006098
ENSG00000181609	-0.079264232	0.045224386	488	-1.752687857	3.071914725	0.080314617	465	0.290764759
ENSG00000246863	-0.075459672	0.04351914	488	-1.733942157	3.006555404	0.083591126	465	0.297146938
ENSG00000141446	-0.040941941	0.046312309	488	-0.884040161	0.781527006	0.377131382	465	0.656211226
ENSG00000149639	-0.015430425	0.048203194	488	-0.320112085	0.102471747	0.749027151	465	0.897846134
ENSG00000117525	-0.115068219	0.058167193	488	-1.978232264	3.913402891	0.048492297	465	0.215104262
ENSG00000235485	0.038476712	0.045580254	488	0.844153084	0.712594429	0.399017937	465	0.674532456
ENSG00000164932	-0.060367171	0.04997099	488	-1.208044324	1.459371088	0.227644236	465	0.510745386
ENSG00000170786	0.009278401	0.052012222	488	0.178388853	0.031822583	0.858495294	465	0.943959649
ENSG00000157796	0.016793044	0.048351917	488	0.347308762	0.120623376	0.728516507	465	0.887905363
ENSG00000171603	0.008311385	0.046020423	488	0.180602103	0.03261712	0.856758589	465	0.943133486
ENSG00000257228	-0.004847253	0.045132337	488	-0.107400897	0.011534953	0.914517266	465	0.969212117
ENSG00000267458	-0.046322751	0.046632542	488	-0.993356774	0.986757681	0.321052741	465	0.607732146
ENSG00000267322	-0.055668281	0.047577637	488	-1.170051417	1.369020318	0.242579615	465	0.525751077
ENSG00000267100	0.059447435	0.046844131	488	1.269047665	1.610481976	0.205058906	465	0.483551696
ENSG00000132481	0.092929877	0.05009419	488	1.855102896	3.441406753	0.064214222	465	0.25509578
ENSG00000196547	0.051777336	0.049562954	488	1.044678162	1.091352462	0.296714507	465	0.584256719
ENSG00000186577	-0.049834939	0.05017679	488	-0.993187074	0.986420564	0.32113533	465	0.607732146
ENSG00000277959	0.018494237	0.048127788	488	0.384273569	0.147666176	0.700951361	465	0.873147748
ENSG00000224729	-0.053090748	0.044022121	488	-1.206001611	1.454439885	0.228430135	465	0.511466297
ENSG00000196586	-0.12035369	0.054925049	488	-2.191235013	4.801510882	0.028930217	465	0.157119246
ENSG00000260305	0.004268931	0.044178831	488	0.09662843	0.009337054	0.92306311	465	0.972110466
ENSG00000168917	-0.04671402	0.051451218	488	-0.90792836	0.824333907	0.36438636	465	0.64519166
ENSG00000183395	0.036058607	0.046098754	488	0.782203507	0.611842326	0.434493106	465	0.701057844
ENSG00000173641	-0.028745548	0.043907246	488	-0.654688011	0.428616391	0.512992341	465	0.762014232
ENSG00000124279	0.131150399	0.044914756	488	2.919984693	8.526310609	0.003670528	465	0.043654859
ENSG00000260676	-0.057013043	0.044973504	488	-1.26770293	1.607070719	0.205538479	465	0.483841401
ENSG00000230598	0.01300219	0.044196008	488	0.294193772	0.086549976	0.768741117	465	0.904741515
ENSG00000117971	-0.022564863	0.053683041	488	-0.420335039	0.176681545	0.674434886	465	0.86038676
ENSG00000139436	-0.130461495	0.050259288	488	-2.595768843	6.738015887	0.009736487	465	0.080331034
ENSG00000162745	0.016044874	0.047364014	488	0.338756636	0.114756058	0.734945986	465	0.890455522
ENSG00000260314	0.004937709	0.044285567	488	0.111497015	0.012431584	0.911270343	465	0.967922626
ENSG00000153827	0.057638968	0.04469586	488	1.289581819	1.663021268	0.197836929	465	0.475454473
ENSG00000196083	-0.008215348	0.051916329	488	-0.158242079	0.025040556	0.874334744	465	0.951504288
ENSG00000172216	0.065868391	0.046395858	488	1.419704109	2.015559758	0.156363881	465	0.420554783
ENSG00000145332	0.103904127	0.051859922	488	2.003553461	4.014226469	0.045697613	465	0.207871197
ENSG00000198346	-0.099712095	0.046481585	488	-2.145195658	4.60186441	0.032454526	465	0.167905439
ENSG00000197487	-0.058221317	0.04326978	488	-1.345542245	1.810483933	0.17910592	465	0.451064889
ENSG00000168004	-0.082067978	0.044048638	488	-1.863121811	3.471222884	0.063075371	465	0.252553737
ENSG00000108179	0.206104153	0.043399165	488	4.749034981	22.55333325	2.73E-06	465	0.000330902
ENSG00000185475	-0.071412674	0.046376889	488	-1.539833201	2.371086287	0.124281208	465	0.371267629
ENSG00000167196	0.14165597	0.043880641	488	3.228211089	10.42134684	0.001333747	465	0.021855107
ENSG00000183648	0.061188649	0.046016806	488	1.329702229	1.768108017	0.184268304	465	0.457532937
ENSG00000105928	-0.017017466	0.051747517	488	-0.328855707	0.108146076	0.742412808	465	0.894199944
ENSG00000165714	0.088009654	0.047062628	488	1.870053977	3.497101878	0.062104407	465	0.250373563
ENSG00000237286	0.005064828	0.044740394	488	0.113204807	0.012815328	0.909917041	465	0.96751162
ENSG00000196188	-0.071200557	0.047226372	488	-1.507644019	2.272990489	0.13232473	465	0.383676571
ENSG00000132383	0.114102244	0.045524101	488	2.506413972	6.282111	0.012536597	465	0.094622244
ENSG00000101868	0.174583513	0.047186758	488	3.699841208	13.68882496	0.000241539	465	0.007009527
ENSG00000165821	0.02364281	0.048644692	488	0.486030626	0.23622577	0.627174407	465	0.83247165
ENSG00000099282	-0.068147162	0.054195736	488	-1.257426635	1.581121743	0.209230339	465	0.488586392
ENSG00000166825	0.048014347	0.047379934	488	1.013389898	1.026959086	0.311400964	465	0.598818656
ENSG00000144228	-0.049313467	0.044210982	488	-1.115412182	1.244144336	0.265249938	465	0.551440167
ENSG00000184226	-0.062833191	0.046547255	488	-1.349879633	1.822175025	0.177711328	465	0.449077692
ENSG00000247746	-0.02171253	0.047473812	488	-0.457358054	0.20917639	0.647627314	465	0.845267196
ENSG00000175093	-0.055590673	0.049143467	488	-1.131191516	1.279594245	0.25855755	465	0.543041365
ENSG00000216368	0.129418113	0.047641741	488	2.716485792	7.379295058	0.006843863	465	0.064127986
ENSG00000137812	0.225966321	0.044431088	488	5.085770634	25.86506294	5.32E-07	465	0.000106516
ENSG00000280278	-0.010112339	0.044123494	488	-0.229182653	0.052524689	0.81882772	465	0.927025095
ENSG00000133597	0.082136746	0.045947215	488	1.787632733	3.195630787	0.074486381	465	0.279017496
ENSG00000273148	0.013481514	0.047548817	488	0.283529953	0.080389234	0.776896814	465	0.908985673
ENSG00000182346	-0.08524057	0.044812488	488	-1.902161056	3.618216682	0.057767703	465	0.239342125
ENSG00000254278	-0.029499651	0.048373097	488	-0.609835896	0.371899821	0.542268402	465	0.781797284
ENSG00000179562	-0.056762497	0.045942262	488	-1.235518111	1.526505003	0.217261575	465	0.498618426
ENSG00000182853	0.071391595	0.044486282	488	1.604800227	2.575383769	0.109216686	465	0.344901404
ENSG00000162627	-0.020514212	0.074813976	488	-0.274202943	0.075187254	0.784050434	465	0.911508703
ENSG00000189431	0.014778226	0.048083993	488	0.307341905	0.094459047	0.75872074	465	0.900988868
ENSG00000109205	-0.086605221	0.044203955	488	-1.959218811	3.838538351	0.050684271	465	0.220420215
ENSG00000186666	0.066746111	0.051562718	488	1.294464565	1.67563851	0.19614745	465	0.473385611
ENSG00000151465	0.20862607	0.044987204	488	4.637453551	21.50597544	4.59E-06	465	0.000483299
ENSG00000122873	0.130420405	0.04494789	488	2.901591231	8.419231672	0.003888919	465	0.045221666
ENSG00000161791	0.068385336	0.05097414	488	1.341569188	1.799807887	0.180390518	465	0.452729183
ENSG00000104290	0.076479607	0.04685541	488	1.6322471	2.664230597	0.103304407	465	0.335044938
ENSG00000120664	0.11645813	0.0470664	488	2.474336919	6.122343189	0.01370416	465	0.099822517
ENSG00000180019	0.029451429	0.04631648	488	0.635873639	0.404335285	0.525171611	465	0.769647647
ENSG00000140254	0.135089897	0.048786544	488	2.768999124	7.667356149	0.005847628	465	0.058546455
ENSG00000145103	0.012624032	0.048384891	488	0.26090855	0.068073272	0.794278539	465	0.915938342
ENSG00000164113	-0.101654105	0.044305255	488	-2.294402907	5.2642847	0.022212167	465	0.133406249
ENSG00000104826	-0.030845303	0.044676263	488	-0.690418147	0.476677218	0.490275729	465	0.745180949
ENSG00000272361	0.005286278	0.044552587	488	0.118652548	0.014078427	0.905601871	465	0.965127035
ENSG00000100625	-0.006977491	0.054263701	488	-0.128584874	0.01653407	0.89774173	465	0.962185881
ENSG00000172478	-0.082396254	0.047249367	488	-1.743859423	3.041045687	0.081844436	465	0.293834652
ENSG00000182973	0.183859751	0.050283602	488	3.65645543	13.36966631	0.000284932	465	0.007730997
ENSG00000260163	0.018222996	0.046195153	488	0.394478528	0.155613309	0.693408635	465	0.869410722
ENSG00000238164	-0.04445949	0.047825941	488	-0.929610363	0.864175427	0.353055185	465	0.635639006
ENSG00000104205	-0.022969183	0.052574786	488	-0.436885913	0.190869301	0.662396892	465	0.853306358
ENSG00000152582	-0.023782773	0.0448142	488	-0.530697257	0.281639579	0.595881944	465	0.815190275
ENSG00000164406	0.118074603	0.052177111	488	2.262957852	5.120978239	0.024098673	465	0.140772017
ENSG00000160877	0.000779042	0.044968832	488	0.017324039	0.000300122	0.986185538	465	0.995632713
ENSG00000112038	0.002053464	0.047759338	488	0.042996076	0.001848663	0.965723118	465	0.98772294
ENSG00000100416	0.086588401	0.047077498	488	1.839273654	3.382927575	0.066512307	465	0.260634528
ENSG00000166508	0.257836481	0.044005498	488	5.859187833	34.33008206	8.81E-09	465	6.54E-06
ENSG00000196981	-0.035168561	0.045888887	488	-0.766385132	0.58734617	0.443836057	465	0.709457428
ENSG00000135090	-0.004319188	0.051472502	488	-0.083912536	0.007041314	0.933162085	465	0.977128985
ENSG00000185651	0.088977122	0.043993428	488	2.022509413	4.090544324	0.043695655	465	0.201836633
ENSG00000079102	-0.080956086	0.049367045	488	-1.639881139	2.689210148	0.101706162	465	0.332826308
ENSG00000267465	0.003445928	0.044605497	488	0.077253433	0.005968093	0.938455164	465	0.979802191
ENSG00000173599	0.042749491	0.050880115	488	0.840200348	0.705936625	0.401227857	465	0.675880088
ENSG00000170860	0.005224126	0.0464809	488	0.112392969	0.01263218	0.910560332	465	0.967634219
ENSG00000179954	-0.021580977	0.045040765	488	-0.479143207	0.229578213	0.632061998	465	0.835450426
ENSG00000163632	-0.030959969	0.043961142	488	-0.704257613	0.495978785	0.481624896	465	0.738046753
ENSG00000240771	0.032703761	0.046161015	488	0.708471436	0.501931776	0.479007544	465	0.735725017
ENSG00000146670	0.201897488	0.045336723	488	4.45328809	19.83177481	1.06E-05	465	0.000861557
ENSG00000145358	-0.006450334	0.04411754	488	-0.146207929	0.021376759	0.883820607	465	0.956494726
ENSG00000138172	0.070725613	0.045573501	488	1.551902126	2.408400209	0.121365955	465	0.36610905
ENSG00000244476	-0.002031704	0.044837283	488	-0.045312822	0.002053252	0.96387742	465	0.986892635
ENSG00000279943	-0.049313158	0.043357331	488	-1.13736609	1.293601623	0.255971002	465	0.540333886
ENSG00000184368	-0.069036124	0.046355809	488	-1.489265872	2.217912837	0.137095276	465	0.391699476
ENSG00000160678	-0.178952041	0.062885875	488	-2.845663518	8.097800856	0.004627677	465	0.050306512
ENSG00000205502	-0.015411773	0.043972209	488	-0.350488946	0.122842501	0.726130499	465	0.88672535
ENSG00000077616	0.007224887	0.049309608	488	0.146520865	0.021468364	0.883573719	465	0.956464491
ENSG00000157653	-0.021133479	0.044957163	488	-0.47008036	0.220975545	0.63851799	465	0.839169402
ENSG00000123064	0.134012373	0.046330529	488	2.892528423	8.36672068	0.004000821	465	0.045939353
ENSG00000186496	-0.040629291	0.044579118	488	-0.911397374	0.830645173	0.362558261	465	0.644404991
ENSG00000159377	-0.012198659	0.048874946	488	-0.249589214	0.062294776	0.803015258	465	0.919983715
ENSG00000071677	0.024315194	0.045410577	488	0.53545222	0.28670908	0.592593177	465	0.813024034
ENSG00000198740	-0.105961931	0.046557667	488	-2.275928725	5.179851563	0.023304244	465	0.13794401
ENSG00000125637	-0.094034583	0.053249679	488	-1.765918321	3.118467515	0.078065708	465	0.286613078
ENSG00000107104	-0.080925383	0.050416132	488	-1.605148602	2.576502036	0.109139996	465	0.344901404
ENSG00000112053	0.003498262	0.046142288	488	0.07581467	0.005747864	0.939599151	465	0.980103187
ENSG00000145860	0.071931435	0.049700887	488	1.447286738	2.094638902	0.148490442	465	0.409160948
ENSG00000153531	-0.005486376	0.048597067	488	-0.112895206	0.012745328	0.910162358	465	0.96761832
ENSG00000258343	-0.040905515	0.045041356	488	-0.908176815	0.824785128	0.364255238	465	0.64519166
ENSG00000164054	-0.097846396	0.044789011	488	-2.184607207	4.772508649	0.029416272	465	0.159010852
ENSG00000124215	-0.029096517	0.046029815	488	-0.63212327	0.399579829	0.527616997	465	0.771675023
ENSG00000181019	0.139218886	0.060455699	488	2.302824852	5.3030023	0.021729313	465	0.132081176
ENSG00000280426	-0.020098523	0.045444527	488	-0.442264976	0.195598309	0.658503101	465	0.851629322
ENSG00000145934	-0.002127172	0.054554748	488	-0.038991508	0.001520338	0.968913893	465	0.98889029
ENSG00000112149	0.126471912	0.047850802	488	2.643046874	6.985696779	0.008493718	465	0.073732966
ENSG00000091157	-0.029145833	0.055009398	488	-0.529833705	0.280723755	0.596480114	465	0.815401976
ENSG00000111802	0.18165601	0.045864712	488	3.960692234	15.68708297	8.64E-05	465	0.003483019
ENSG00000165309	-0.070663839	0.044984705	488	-1.570841421	2.46754277	0.116899656	465	0.358303797
ENSG00000103876	0.008583011	0.050565612	488	0.169740081	0.028811695	0.865288371	465	0.946856896
ENSG00000162613	0.123132212	0.051732219	488	2.380184245	5.665277042	0.017706084	465	0.117244258
ENSG00000117640	-0.055053557	0.05185073	488	-1.061770144	1.127355838	0.288891176	465	0.575427201
ENSG00000126088	-0.023833043	0.04964541	488	-0.480065386	0.230462775	0.63140664	465	0.835146744
ENSG00000086189	0.270698817	0.044668758	488	6.060137547	36.72526709	2.81E-09	465	4.28E-06
ENSG00000001461	-0.155353368	0.046823415	488	-3.317856436	11.00817133	0.000978284	465	0.017808333
ENSG00000073754	-0.059093319	0.04387808	488	-1.346761734	1.813767167	0.178712997	465	0.450674705
ENSG00000130305	0.095553974	0.045814602	488	2.085666347	4.35000411	0.037553463	465	0.183838722
ENSG00000131848	0.094804096	0.044621984	488	2.12460515	4.513947045	0.034146478	465	0.173716735
ENSG00000115758	0.193244753	0.050978418	488	3.790716912	14.36953471	0.000169985	465	0.005573326
ENSG00000112312	0.20373968	0.043908433	488	4.640103621	21.53056161	4.53E-06	465	0.000480429
ENSG00000170381	-0.036450286	0.045281346	488	-0.804973561	0.647982434	0.421246329	465	0.69152063
ENSG00000235026	0.026064198	0.044199741	488	0.589691192	0.347735702	0.555684112	465	0.791620565
