Transcript	mimic	Score	P value	miRNA(s)
AT1G01060.2	AT2G06200.1	0.7071	0.00355871886120997	ath-miR_novel_1103
AT1G01060.2	AT3G06760.2	0.681	0.00177935943060498	ath-miR_novel_1103
AT1G01060.2	AT3G22290.1	0.7643	0.00177935943060498	ath-miR_novel_1103
AT1G01060.2	AT4G01915.1	0.8548	0.00177935943060498	ath-miR_novel_1103
AT1G01060.2	AT4G01915.2	0.8548	0.00177935943060498	ath-miR_novel_1103
AT1G01060.2	AT4G01915.3	0.8548	0.00177935943060498	ath-miR_novel_1103
AT1G01060.2	AT4G01935.1	0.7905	0.00177935943060498	ath-miR_novel_1103
AT1G01060.2	AT4G16442.1	0.6048	0.00355871886120997	ath-miR_novel_1103
AT1G01060.2	AT4G20330.1	0.781	0.00355871886120997	ath-miR_novel_1103
AT1G01060.2	AT4G24480.1	0.7214	0.00177935943060498	ath-miR_novel_1103
AT1G01060.2	AT4G25760.1	0.6524	0.00177935943060498	ath-miR_novel_1103
AT1G01060.2	AT4G33350.2	0.6976	0.00177935943060498	ath-miR_novel_1103
AT1G01060.2	AT5G60970.1	0.7048	0.00355871886120997	ath-miR_novel_1103
AT1G01060.3	AT1G02630.1	0.7024	0.00177935943060498	ath-miR_novel_1103
AT1G01060.3	AT1G02630.2	0.7024	0.00177935943060498	ath-miR_novel_1103
AT1G01060.3	AT1G04700.1	0.75	0.00177935943060498	ath-miR_novel_1103
AT1G01060.3	AT1G20640.1	0.6786	0.00177935943060498	ath-miR_novel_1103
AT1G01060.3	AT1G20640.2	0.6786	0.00177935943060498	ath-miR_novel_1103
AT1G01060.3	AT1G20693.1	0.7119	0.00177935943060498	ath-miR_novel_1103
AT1G01060.3	AT1G20693.2	0.7119	0.00177935943060498	ath-miR_novel_1103
AT1G01060.3	AT1G20693.3	0.7119	0.00177935943060498	ath-miR_novel_1103
AT1G01060.3	AT1G68820.1	0.6143	0.00177935943060498	ath-miR_novel_1103
AT1G01060.3	AT2G06200.1	0.7071	0.00355871886120997	ath-miR_novel_1103
AT1G01060.3	AT3G06760.2	0.681	0.00177935943060498	ath-miR_novel_1103
AT1G01060.3	AT3G22290.1	0.7643	0.00177935943060498	ath-miR_novel_1103
AT1G01060.3	AT4G01915.1	0.8548	0.00177935943060498	ath-miR_novel_1103
AT1G01060.3	AT4G01915.2	0.8548	0.00177935943060498	ath-miR_novel_1103
AT1G01060.3	AT4G01915.3	0.8548	0.00177935943060498	ath-miR_novel_1103
AT1G01060.3	AT4G01935.1	0.7905	0.00177935943060498	ath-miR_novel_1103
AT1G01060.3	AT4G16442.1	0.6048	0.00355871886120997	ath-miR_novel_1103
AT1G01060.3	AT4G20330.1	0.781	0.00355871886120997	ath-miR_novel_1103
AT1G01060.3	AT4G24480.1	0.7214	0.00177935943060498	ath-miR_novel_1103
AT1G01060.3	AT4G25760.1	0.6524	0.00177935943060498	ath-miR_novel_1103
AT1G01060.3	AT4G33350.2	0.6976	0.00177935943060498	ath-miR_novel_1103
AT1G01060.3	AT5G60970.1	0.7048	0.00355871886120997	ath-miR_novel_1103
AT1G01060.4	AT1G02630.1	0.7024	0.00177935943060498	ath-miR_novel_1103
AT1G01060.4	AT1G02630.2	0.7024	0.00177935943060498	ath-miR_novel_1103
AT1G01060.4	AT1G04700.1	0.75	0.00177935943060498	ath-miR_novel_1103
AT1G01060.4	AT1G20640.1	0.6786	0.00177935943060498	ath-miR_novel_1103
AT1G01060.4	AT1G20640.2	0.6786	0.00177935943060498	ath-miR_novel_1103
AT1G01060.4	AT1G20693.1	0.7119	0.00177935943060498	ath-miR_novel_1103
AT1G01060.4	AT1G20693.2	0.7119	0.00177935943060498	ath-miR_novel_1103
AT1G01060.4	AT1G20693.3	0.7119	0.00177935943060498	ath-miR_novel_1103
AT1G01060.4	AT1G68820.1	0.6143	0.00177935943060498	ath-miR_novel_1103
AT1G01060.4	AT2G06200.1	0.7071	0.00355871886120997	ath-miR_novel_1103
AT1G01060.4	AT3G06760.2	0.681	0.00177935943060498	ath-miR_novel_1103
AT1G01060.4	AT3G22290.1	0.7643	0.00177935943060498	ath-miR_novel_1103
AT1G01060.4	AT4G01915.1	0.8548	0.00177935943060498	ath-miR_novel_1103
AT1G01060.4	AT4G01915.2	0.8548	0.00177935943060498	ath-miR_novel_1103
AT1G01060.4	AT4G01915.3	0.8548	0.00177935943060498	ath-miR_novel_1103
AT1G01060.4	AT4G01935.1	0.7905	0.00177935943060498	ath-miR_novel_1103
AT1G01060.4	AT4G16442.1	0.6048	0.00355871886120997	ath-miR_novel_1103
AT1G01060.4	AT4G20330.1	0.781	0.00355871886120997	ath-miR_novel_1103
AT1G01060.4	AT4G24480.1	0.7214	0.00177935943060498	ath-miR_novel_1103
AT1G01060.4	AT4G25760.1	0.6524	0.00177935943060498	ath-miR_novel_1103
AT1G01060.4	AT4G33350.2	0.6976	0.00177935943060498	ath-miR_novel_1103
AT1G01060.4	AT5G60970.1	0.7048	0.00355871886120997	ath-miR_novel_1103
AT1G01060.5	AT1G02630.1	0.7024	0.00177935943060498	ath-miR_novel_1103
AT1G01060.5	AT1G02630.2	0.7024	0.00177935943060498	ath-miR_novel_1103
AT1G01060.5	AT1G04700.1	0.75	0.00177935943060498	ath-miR_novel_1103
AT1G01060.5	AT1G20640.1	0.6786	0.00177935943060498	ath-miR_novel_1103
AT1G01060.5	AT1G20640.2	0.6786	0.00177935943060498	ath-miR_novel_1103
AT1G01060.5	AT1G20693.1	0.7119	0.00177935943060498	ath-miR_novel_1103
AT1G01060.5	AT1G20693.2	0.7119	0.00177935943060498	ath-miR_novel_1103
AT1G01060.5	AT1G20693.3	0.7119	0.00177935943060498	ath-miR_novel_1103
AT1G01060.5	AT1G68820.1	0.6143	0.00177935943060498	ath-miR_novel_1103
AT1G01060.5	AT2G06200.1	0.7071	0.00355871886120997	ath-miR_novel_1103
AT1G01060.5	AT3G06760.2	0.681	0.00177935943060498	ath-miR_novel_1103
AT1G01060.5	AT3G22290.1	0.7643	0.00177935943060498	ath-miR_novel_1103
AT1G01060.5	AT4G01915.1	0.8548	0.00177935943060498	ath-miR_novel_1103
AT1G01060.5	AT4G01915.2	0.8548	0.00177935943060498	ath-miR_novel_1103
AT1G01060.5	AT4G01915.3	0.8548	0.00177935943060498	ath-miR_novel_1103
AT1G01060.5	AT4G01935.1	0.7905	0.00177935943060498	ath-miR_novel_1103
AT1G01060.5	AT4G16442.1	0.6048	0.00355871886120997	ath-miR_novel_1103
AT1G01060.5	AT4G20330.1	0.781	0.00355871886120997	ath-miR_novel_1103
AT1G01060.5	AT4G24480.1	0.7214	0.00177935943060498	ath-miR_novel_1103
AT1G01060.5	AT4G25760.1	0.6524	0.00177935943060498	ath-miR_novel_1103
AT1G01060.5	AT4G33350.2	0.6976	0.00177935943060498	ath-miR_novel_1103
AT1G01060.5	AT5G60970.1	0.7048	0.00355871886120997	ath-miR_novel_1103
AT1G01150.1	AT1G04360.1	0.6528	0.00177935943060498	ath-miR_novel_189
AT1G01150.1	AT1G13980.1	0.7361	0.00177935943060498	ath-miR_novel_189
AT1G01150.1	AT1G13980.2	0.7361	0.00177935943060498	ath-miR_novel_189
AT1G01150.1	AT1G30400.1	0.7222	0.00177935943060498	ath-miR_novel_189
AT1G01150.1	AT1G30400.2	0.7222	0.00177935943060498	ath-miR_novel_189
AT1G01150.1	AT1G63690.1	0.7222	0.00533807829181494	ath-miR_novel_189
AT1G01150.1	AT1G63690.2	0.7222	0.00533807829181494	ath-miR_novel_189
AT1G01150.1	AT1G67365.1	0.7708	0.00355871886120997	ath-miR_novel_189
AT1G01150.1	AT1G71060.1	0.6979	0.00177935943060498	ath-miR_novel_189
AT1G01150.1	AT2G22122.1	0.6528	0.00177935943060498	ath-miR_novel_189
AT1G01150.1	AT2G34500.1	0.6389	0.00177935943060498	ath-miR_novel_189
AT1G01150.1	AT2G34660.1	0.7326	0.00355871886120997	ath-miR_novel_189
AT1G01150.1	AT2G34660.2	0.7326	0.00355871886120997	ath-miR_novel_189
AT1G01150.1	AT3G15160.1	0.6146	0.00177935943060498	ath-miR_novel_189
AT1G01150.1	AT3G29310.1	0.6944	0.00177935943060498	ath-miR_novel_189
AT1G01150.1	AT4G40065.1	0.691	0.00177935943060498	ath-miR_novel_189
AT1G01150.1	AT5G02310.1	0.7778	0.00177935943060498	ath-miR_novel_189
AT1G01150.1	AT5G37478.1	0.6285	0.00177935943060498	ath-miR_novel_189
AT1G01150.1	AT5G38050.1	0.6007	0.00177935943060498	ath-miR_novel_189
AT1G01150.1	AT5G50350.1	0.6458	0.00177935943060498	ath-miR_novel_189
AT1G01150.1	NCAT1G002388.1	0.7812	0.00177935943060498	ath-miR_novel_189
AT1G01620.1	AT1G06040.1	0.6453	0.00177935943060498	ath-miR_novel_798
AT1G01620.1	AT1G06040.2	0.6453	0.00177935943060498	ath-miR_novel_798
AT1G01620.1	AT1G33420.1	0.6373	0.00355871886120997	ath-miR_novel_798
AT1G01620.1	AT2G28200.1	0.6673	0.00177935943060498	ath-miR_novel_798
AT1G01620.1	AT2G38140.1	0.6754	0.00711743772241993	ath-miR_novel_798
AT1G01620.1	AT4G20830.1	0.7014	0.00355871886120997	ath-miR_novel_798
AT1G01620.1	AT4G20830.2	0.7014	0.00355871886120997	ath-miR_novel_798
AT1G01620.1	AT4G24020.1	0.6794	0.00533807829181494	ath-miR_novel_798
AT1G01620.1	AT5G14610.1	0.7836	0.00355871886120997	ath-miR_novel_798
AT1G01620.1	AT5G14610.2	0.7836	0.00355871886120997	ath-miR_novel_798
AT1G01620.1	AT5G44150.1	0.7154	0.00355871886120997	ath-miR_novel_798
AT1G01620.2	AT1G06040.1	0.6453	0.00177935943060498	ath-miR_novel_798
AT1G01620.2	AT1G06040.2	0.6453	0.00177935943060498	ath-miR_novel_798
AT1G01620.2	AT1G33420.1	0.6373	0.00355871886120997	ath-miR_novel_798
AT1G01620.2	AT2G28200.1	0.6673	0.00177935943060498	ath-miR_novel_798
AT1G01620.2	AT2G38140.1	0.6754	0.00711743772241993	ath-miR_novel_798
AT1G01620.2	AT4G20830.1	0.7014	0.00355871886120997	ath-miR_novel_798
AT1G01620.2	AT4G20830.2	0.7014	0.00355871886120997	ath-miR_novel_798
AT1G01620.2	AT4G24020.1	0.6794	0.00533807829181494	ath-miR_novel_798
AT1G01620.2	AT5G14610.1	0.7836	0.00355871886120997	ath-miR_novel_798
AT1G01620.2	AT5G14610.2	0.7836	0.00355871886120997	ath-miR_novel_798
AT1G01620.2	AT5G44150.1	0.7154	0.00355871886120997	ath-miR_novel_798
AT1G01725.1	AT1G61150.1	0.6336	0.00177935943060498	ath-miR_novel_469
AT1G01725.1	AT1G61150.2	0.6336	0.00177935943060498	ath-miR_novel_469
AT1G01725.1	AT1G61150.3	0.6336	0.00177935943060498	ath-miR_novel_469
AT1G01725.1	AT1G61150.4	0.6336	0.00177935943060498	ath-miR_novel_469
AT1G01725.1	AT1G61150.5	0.6336	0.00177935943060498	ath-miR_novel_469
AT1G01725.1	AT1G61150.6	0.6336	0.00177935943060498	ath-miR_novel_469
AT1G01725.1	AT1G61150.7	0.6336	0.00177935943060498	ath-miR_novel_469
AT1G01725.1	AT1G63940.1	0.8258	0.00177935943060498	ath-miR_novel_469
AT1G01725.1	AT1G63940.2	0.8258	0.00177935943060498	ath-miR_novel_469
AT1G01725.1	AT1G63940.3	0.8258	0.00177935943060498	ath-miR_novel_469
AT1G01725.1	AT1G63940.4	0.8258	0.00177935943060498	ath-miR_novel_469
AT1G01725.1	AT2G22460.1	0.6126	0.00177935943060498	ath-miR_novel_469
AT1G01725.1	AT4G04220.1	0.6276	0.00177935943060498	ath-miR_novel_469
AT1G01725.1	AT4G16920.1	0.6456	0.00177935943060498	ath-miR_novel_469
AT1G01725.1	AT4G16950.1	0.6456	0.00355871886120997	ath-miR_novel_469
AT1G01725.1	AT4G16950.2	0.6456	0.00355871886120997	ath-miR_novel_469
AT1G01725.1	AT5G05610.1	0.6757	0.00177935943060498	ath-miR_novel_469
AT1G01725.1	AT5G46260.1	0.6246	0.00177935943060498	ath-miR_novel_469
AT1G01725.1	AT5G46270.1	0.6246	0.00177935943060498	ath-miR_novel_469
AT1G01725.1	AT5G46490.2	0.6246	0.00177935943060498	ath-miR_novel_469
AT1G02030.1	AT1G04010.1	0.7795	0.00355871886120997	ath-miR5021
AT1G02030.1	AT1G07640.3	0.6586	0.00177935943060498	ath-miR5021
AT1G02030.1	AT1G10470.1	0.8278	0.00355871886120997	ath-miR5021
AT1G02030.1	AT1G13130.1	0.8218	0.00533807829181494	ath-miR5021
AT1G02030.1	AT1G14390.1	0.719	0.00177935943060498	ath-miR5021
AT1G02030.1	AT1G15520.1	0.6224	0.00177935943060498	ath-miR5021
AT1G02030.1	AT1G16858.1	0.8006	0.00355871886120997	ath-miR5021
AT1G02030.1	AT1G17340.1	0.8157	0.00355871886120997	ath-miR5021
AT1G02030.1	AT1G20180.1	0.7583	0.00177935943060498	ath-miR5021
AT1G02030.1	AT1G26440.2	0.7764	0.00355871886120997	ath-miR5021
AT1G02030.1	AT1G44608.1	0.7553	0.00355871886120997	ath-miR5021
AT1G02030.1	AT1G49620.1	0.8278	0.00355871886120997	ath-miR5021
AT1G02030.1	AT1G50360.1	0.6647	0.00177935943060498	ath-miR5021
AT1G02030.1	AT1G57765.1	0.7311	0.00177935943060498	ath-miR5021
AT1G02030.1	AT1G57765.2	0.7311	0.00177935943060498	ath-miR5021
AT1G02030.1	AT1G58122.1	0.8308	0.00355871886120997	ath-miR5021
AT1G02030.1	AT1G64150.1	0.8489	0.00355871886120997	ath-miR5021
AT1G02030.1	AT1G67510.1	0.7674	0.00177935943060498	ath-miR5021
AT1G02030.1	AT1G69210.1	0.8489	0.00355871886120997	ath-miR5021
AT1G02030.1	AT1G69210.2	0.8489	0.00533807829181494	ath-miR5021
AT1G02030.1	AT1G74890.1	0.7674	0.00177935943060498	ath-miR5021
AT1G02030.1	AT1G75730.1	0.7855	0.00355871886120997	ath-miR5021
AT1G02030.1	AT1G76970.1	0.8157	0.00355871886120997	ath-miR5021
AT1G02030.1	AT1G77870.1	0.6495	0.00177935943060498	ath-miR5021
AT1G02030.1	AT1G78160.1	0.7402	0.00355871886120997	ath-miR5021
AT1G02030.1	AT2G05710.1	0.8278	0.00355871886120997	ath-miR5021
AT1G02030.1	AT2G23460.1	0.8278	0.00355871886120997	ath-miR5021
AT1G02030.1	AT2G23980.1	0.7311	0.00355871886120997	ath-miR5021
AT1G02030.1	AT2G27950.1	0.7039	0.00177935943060498	ath-miR5021
AT1G02030.1	AT2G28470.1	0.7009	0.00177935943060498	ath-miR5021
AT1G02030.1	AT2G28470.2	0.7009	0.00177935943060498	ath-miR5021
AT1G02030.1	AT2G30930.1	0.6858	0.00355871886120997	ath-miR5021
AT1G02030.1	AT2G38140.1	0.7674	0.00711743772241993	ath-miR5021
AT1G02030.1	AT2G43180.1	0.7674	0.00355871886120997	ath-miR5021
AT1G02030.1	AT2G43180.2	0.7674	0.00355871886120997	ath-miR5021
AT1G02030.1	AT2G43180.3	0.7674	0.00355871886120997	ath-miR5021
AT1G02030.1	AT2G43180.4	0.7674	0.00355871886120997	ath-miR5021
AT1G02030.1	AT2G47800.1	0.7976	0.00355871886120997	ath-miR5021
AT1G02030.1	AT3G01050.1	0.7372	0.00355871886120997	ath-miR5021
AT1G02030.1	AT3G02065.1	0.6556	0.00177935943060498	ath-miR5021
AT1G02030.1	AT3G02065.2	0.6556	0.00177935943060498	ath-miR5021
AT1G02030.1	AT3G02065.3	0.6556	0.00177935943060498	ath-miR5021
AT1G02030.1	AT3G05200.1	0.7281	0.00355871886120997	ath-miR5021
AT1G02030.1	AT3G05650.1	0.6888	0.00177935943060498	ath-miR5021
AT1G02030.1	AT3G06270.1	0.8278	0.00355871886120997	ath-miR5021
AT1G02030.1	AT3G06530.2	0.8157	0.00177935943060498	ath-miR5021
AT1G02030.1	AT3G06530.3	0.8157	0.00177935943060498	ath-miR5021
AT1G02030.1	AT3G13730.1	0.7704	0.00355871886120997	ath-miR5021
AT1G02030.1	AT3G21650.1	0.6918	0.00177935943060498	ath-miR5021
AT1G02030.1	AT3G23290.2	0.6133	0.00177935943060498	ath-miR5021
AT1G02030.1	AT3G24090.1	0.8218	0.00533807829181494	ath-miR5021
AT1G02030.1	AT3G25130.1	0.71	0.00355871886120997	ath-miR5021
AT1G02030.1	AT3G26700.1	0.8036	0.00355871886120997	ath-miR5021
AT1G02030.1	AT3G27560.1	0.7946	0.00177935943060498	ath-miR5021
AT1G02030.1	AT3G43610.1	0.7704	0.00355871886120997	ath-miR5021
AT1G02030.1	AT3G47650.1	0.6224	0.00177935943060498	ath-miR5021
AT1G02030.1	AT3G49310.1	0.858	0.00355871886120997	ath-miR5021
AT1G02030.1	AT3G49900.1	0.7674	0.00177935943060498	ath-miR5021
AT1G02030.1	AT3G49900.2	0.7674	0.00177935943060498	ath-miR5021
AT1G02030.1	AT3G52450.1	0.7311	0.00355871886120997	ath-miR5021
AT1G02030.1	AT3G56180.1	0.7855	0.00355871886120997	ath-miR5021
AT1G02030.1	AT3G57710.1	0.7946	0.00355871886120997	ath-miR5021
AT1G02030.1	AT3G59670.1	0.7281	0.00355871886120997	ath-miR5021
AT1G02030.1	AT3G63140.1	0.6707	0.00177935943060498	ath-miR5021
AT1G02030.1	AT4G00420.1	0.7795	0.00355871886120997	ath-miR5021
AT1G02030.1	AT4G00420.2	0.7795	0.00355871886120997	ath-miR5021
AT1G02030.1	AT4G00420.3	0.7795	0.00355871886120997	ath-miR5021
AT1G02030.1	AT4G03390.1	0.6677	0.00355871886120997	ath-miR5021
AT1G02030.1	AT4G12690.2	0.7311	0.00177935943060498	ath-miR5021
AT1G02030.1	AT4G16840.1	0.71	0.00177935943060498	ath-miR5021
AT1G02030.1	AT4G21230.1	0.7855	0.00177935943060498	ath-miR5021
AT1G02030.1	AT4G26095.1	0.6949	0.00177935943060498	ath-miR5021
AT1G02030.1	AT4G27450.1	0.6103	0.00177935943060498	ath-miR5021
AT1G02030.1	AT4G27652.1	0.6888	0.00177935943060498	ath-miR5021
AT1G02030.1	AT4G35660.1	0.7583	0.00355871886120997	ath-miR5021
AT1G02030.1	AT4G39890.1	0.6767	0.00177935943060498	ath-miR5021
AT1G02030.1	AT5G02190.1	0.9154	0.00355871886120997	ath-miR5021
AT1G02030.1	AT5G06790.1	0.8792	0.00355871886120997	ath-miR5021
AT1G02030.1	AT5G13290.1	0.8066	0.00355871886120997	ath-miR5021
AT1G02030.1	AT5G13290.2	0.8066	0.00355871886120997	ath-miR5021
AT1G02030.1	AT5G13290.3	0.8066	0.00355871886120997	ath-miR5021
AT1G02030.1	AT5G16020.1	0.8157	0.00355871886120997	ath-miR5021
AT1G02030.1	AT5G16620.1	0.7372	0.00533807829181494	ath-miR5021
AT1G02030.1	AT5G18150.1	0.6495	0.00355871886120997	ath-miR5021
AT1G02030.1	AT5G38830.1	0.6586	0.00177935943060498	ath-miR5021
AT1G02030.1	AT5G39320.1	0.7734	0.00355871886120997	ath-miR5021
AT1G02030.1	AT5G46220.1	0.6495	0.00355871886120997	ath-miR5021
AT1G02030.1	AT5G50810.1	0.8036	0.00355871886120997	ath-miR5021
AT1G02030.1	AT5G57340.1	0.8187	0.00355871886120997	ath-miR5021
AT1G02030.1	AT5G57340.2	0.8187	0.00355871886120997	ath-miR5021
AT1G02030.1	AT5G59080.1	0.7674	0.00533807829181494	ath-miR5021
AT1G02030.1	AT5G61010.2	0.7523	0.00355871886120997	ath-miR5021
AT1G02030.1	AT5G61900.3	0.8036	0.00177935943060498	ath-miR5021
AT1G02030.1	AT5G62520.1	0.7221	0.00177935943060498	ath-miR5021
AT1G02030.1	AT5G62520.2	0.7221	0.00177935943060498	ath-miR5021
AT1G02030.1	AT5G64760.1	0.6224	0.00355871886120997	ath-miR5021
AT1G02030.1	AT5G64760.2	0.6224	0.00355871886120997	ath-miR5021
AT1G02030.1	AT5G66050.1	0.713	0.00177935943060498	ath-miR5021
AT1G02030.1	AT5G66050.2	0.713	0.00177935943060498	ath-miR5021
AT1G02030.1	AT5G66850.1	0.8278	0.00355871886120997	ath-miR5021
AT1G02205.1	AT4G15850.1	0.648	0.00177935943060498	ath-miR_novel_1109
AT1G02205.1	NCAT2G010046.1	0.6316	0.00177935943060498	ath-miR_novel_1109
AT1G02205.2	AT4G15850.1	0.648	0.00177935943060498	ath-miR_novel_1109
AT1G02205.2	NCAT2G010046.1	0.6316	0.00177935943060498	ath-miR_novel_1109
AT1G02205.3	AT4G15850.1	0.648	0.00177935943060498	ath-miR_novel_1109
AT1G02205.3	NCAT2G010046.1	0.6316	0.00177935943060498	ath-miR_novel_1109
AT1G02570.1	AT1G04010.1	0.7795	0.00355871886120997	ath-miR5021
AT1G02570.1	AT1G07640.3	0.6586	0.00177935943060498	ath-miR5021
AT1G02570.1	AT1G10470.1	0.8278	0.00355871886120997	ath-miR5021
AT1G02570.1	AT1G13130.1	0.8218	0.00533807829181494	ath-miR5021
AT1G02570.1	AT1G14390.1	0.719	0.00177935943060498	ath-miR5021
AT1G02570.1	AT1G15520.1	0.6224	0.00177935943060498	ath-miR5021
AT1G02570.1	AT1G16858.1	0.8006	0.00355871886120997	ath-miR5021
AT1G02570.1	AT1G17340.1	0.8157	0.00355871886120997	ath-miR5021
AT1G02570.1	AT1G20180.1	0.7583	0.00177935943060498	ath-miR5021
AT1G02570.1	AT1G26440.2	0.7764	0.00355871886120997	ath-miR5021
AT1G02570.1	AT1G44608.1	0.7553	0.00355871886120997	ath-miR5021
AT1G02570.1	AT1G49620.1	0.8278	0.00355871886120997	ath-miR5021
AT1G02570.1	AT1G50360.1	0.6647	0.00177935943060498	ath-miR5021
AT1G02570.1	AT1G57765.1	0.7311	0.00177935943060498	ath-miR5021
AT1G02570.1	AT1G57765.2	0.7311	0.00177935943060498	ath-miR5021
AT1G02570.1	AT1G58122.1	0.8308	0.00355871886120997	ath-miR5021
AT1G02570.1	AT1G64150.1	0.8489	0.00355871886120997	ath-miR5021
AT1G02570.1	AT1G67510.1	0.7674	0.00177935943060498	ath-miR5021
AT1G02570.1	AT1G69210.1	0.8489	0.00355871886120997	ath-miR5021
AT1G02570.1	AT1G69210.2	0.8489	0.00533807829181494	ath-miR5021
AT1G02570.1	AT1G74890.1	0.7674	0.00177935943060498	ath-miR5021
AT1G02570.1	AT1G75730.1	0.7855	0.00355871886120997	ath-miR5021
AT1G02570.1	AT1G76970.1	0.8157	0.00355871886120997	ath-miR5021
AT1G02570.1	AT1G77870.1	0.6495	0.00177935943060498	ath-miR5021
AT1G02570.1	AT1G78160.1	0.7402	0.00355871886120997	ath-miR5021
AT1G02570.1	AT2G05710.1	0.8278	0.00355871886120997	ath-miR5021
AT1G02570.1	AT2G23460.1	0.8278	0.00355871886120997	ath-miR5021
AT1G02570.1	AT2G23980.1	0.7311	0.00355871886120997	ath-miR5021
AT1G02570.1	AT2G27950.1	0.7039	0.00177935943060498	ath-miR5021
AT1G02570.1	AT2G28470.1	0.7009	0.00177935943060498	ath-miR5021
AT1G02570.1	AT2G28470.2	0.7009	0.00177935943060498	ath-miR5021
AT1G02570.1	AT2G30930.1	0.6858	0.00355871886120997	ath-miR5021
AT1G02570.1	AT2G38140.1	0.7674	0.00711743772241993	ath-miR5021
AT1G02570.1	AT2G43180.1	0.7674	0.00355871886120997	ath-miR5021
AT1G02570.1	AT2G43180.2	0.7674	0.00355871886120997	ath-miR5021
AT1G02570.1	AT2G43180.3	0.7674	0.00355871886120997	ath-miR5021
AT1G02570.1	AT2G43180.4	0.7674	0.00355871886120997	ath-miR5021
AT1G02570.1	AT2G47800.1	0.7976	0.00355871886120997	ath-miR5021
AT1G02570.1	AT3G01050.1	0.7372	0.00355871886120997	ath-miR5021
AT1G02570.1	AT3G02065.1	0.6556	0.00177935943060498	ath-miR5021
AT1G02570.1	AT3G02065.2	0.6556	0.00177935943060498	ath-miR5021
AT1G02570.1	AT3G02065.3	0.6556	0.00177935943060498	ath-miR5021
AT1G02570.1	AT3G05200.1	0.7281	0.00355871886120997	ath-miR5021
AT1G02570.1	AT3G05650.1	0.6888	0.00177935943060498	ath-miR5021
AT1G02570.1	AT3G06270.1	0.8278	0.00355871886120997	ath-miR5021
AT1G02570.1	AT3G06530.2	0.8157	0.00177935943060498	ath-miR5021
AT1G02570.1	AT3G06530.3	0.8157	0.00177935943060498	ath-miR5021
AT1G02570.1	AT3G13730.1	0.7704	0.00355871886120997	ath-miR5021
AT1G02570.1	AT3G21650.1	0.6918	0.00177935943060498	ath-miR5021
AT1G02570.1	AT3G23290.2	0.6133	0.00177935943060498	ath-miR5021
AT1G02570.1	AT3G24090.1	0.8218	0.00533807829181494	ath-miR5021
AT1G02570.1	AT3G25130.1	0.71	0.00355871886120997	ath-miR5021
AT1G02570.1	AT3G26700.1	0.8036	0.00355871886120997	ath-miR5021
AT1G02570.1	AT3G27560.1	0.7946	0.00177935943060498	ath-miR5021
